acoustic_scene,event_list
bus,"['phone', 'clearthroat', 'cough', 'speech', 'phone', 'clearthroat', 'laughter', 'speech', 'clearthroat', 'keys', 'clearthroat', 'clearthroat', 'keys', 'cough', 'phone']"
bus,"['phone', 'clearthroat', 'keys', 'phone', 'keys', 'cough', 'clearthroat', 'speech', 'laughter', 'speech', 'keys']"
bus,"['speech', 'speech', 'speech', 'clearthroat', 'cough', 'phone', 'speech', 'keys', 'speech', 'keys']"
bus,"['phone', 'cough', 'phone', 'phone', 'speech', 'speech', 'cough', 'clearthroat', 'speech']"
bus,"['phone', 'clearthroat', 'keys', 'phone', 'keys', 'cough', 'clearthroat', 'speech', 'laughter', 'speech', 'keys']"
bus,"['phone', 'phone', 'clearthroat']"
bus,"['laughter', 'phone', 'laughter', 'keys', 'phone', 'speech', 'keys', 'clearthroat', 'phone', 'speech']"
bus,"['speech', 'speech', 'speech', 'clearthroat', 'cough', 'phone', 'speech', 'keys', 'speech', 'keys']"
bus,"['speech', 'phone', 'phone', 'laughter', 'clearthroat', 'cough', 'laughter', 'phone', 'keys']"
bus,"['phone', 'cough', 'clearthroat', 'phone', 'phone', 'cough', 'laughter', 'keys', 'phone', 'speech', 'clearthroat', 'cough', 'keys', 'phone', 'keys', 'speech', 'phone']"
bus,"['keys', 'clearthroat', 'cough', 'keys', 'clearthroat', 'cough', 'phone', 'clearthroat', 'keys', 'clearthroat', 'phone', 'speech', 'phone', 'phone', 'clearthroat', 'laughter', 'laughter']"
bus,"['keys', 'phone', 'keys', 'cough', 'keys', 'laughter', 'phone']"
bus,"['laughter', 'phone', 'clearthroat', 'phone', 'speech', 'keys', 'clearthroat', 'cough', 'speech', 'clearthroat', 'laughter', 'phone', 'laughter', 'laughter', 'clearthroat', 'cough', 'clearthroat', 'phone', 'phone', 'clearthroat']"
bus,"['clearthroat', 'keys', 'keys', 'cough', 'clearthroat', 'phone', 'clearthroat', 'clearthroat', 'speech']"
bus,"['phone', 'cough', 'clearthroat', 'phone', 'phone', 'cough', 'laughter', 'keys', 'phone', 'speech', 'clearthroat', 'cough', 'keys', 'phone', 'keys', 'speech', 'phone']"
bus,"['keys', 'keys', 'cough', 'keys', 'phone', 'phone', 'phone', 'keys', 'cough', 'laughter', 'clearthroat', 'speech', 'laughter', 'speech', 'cough', 'keys', 'clearthroat', 'keys']"
bus,"['keys', 'clearthroat', 'cough', 'keys', 'clearthroat', 'cough', 'phone', 'clearthroat', 'keys', 'clearthroat', 'phone', 'speech', 'phone', 'phone', 'clearthroat', 'laughter', 'laughter']"
bus,"['keys', 'phone', 'keys', 'cough', 'keys', 'laughter', 'phone']"
bus,"['keys', 'cough', 'keys', 'keys', 'speech', 'clearthroat', 'clearthroat', 'keys', 'keys', 'keys', 'clearthroat', 'laughter', 'speech']"
bus,"['laughter', 'phone', 'clearthroat', 'phone', 'speech', 'keys', 'clearthroat', 'cough', 'speech', 'clearthroat', 'laughter', 'phone', 'laughter', 'laughter', 'clearthroat', 'cough', 'clearthroat', 'phone', 'phone', 'clearthroat']"
bus,"['clearthroat', 'cough', 'phone', 'laughter', 'clearthroat', 'keys', 'clearthroat', 'keys', 'phone', 'phone', 'phone', 'phone', 'speech', 'keys', 'speech', 'clearthroat', 'speech', 'phone', 'keys']"
bus,"['cough', 'clearthroat', 'phone', 'phone', 'keys', 'laughter', 'cough']"
bus,"['cough', 'laughter', 'laughter', 'speech', 'keys', 'keys', 'laughter', 'clearthroat', 'laughter', 'clearthroat', 'speech', 'cough', 'cough', 'keys', 'keys', 'phone', 'keys', 'laughter', 'phone', 'speech']"
bus,"['laughter', 'laughter', 'laughter', 'clearthroat', 'cough', 'speech', 'cough', 'clearthroat', 'phone', 'keys', 'cough', 'laughter', 'keys']"
bus,"['clearthroat', 'phone', 'laughter', 'speech', 'keys', 'laughter', 'speech', 'speech', 'phone', 'phone', 'phone', 'laughter', 'cough', 'cough', 'laughter', 'laughter', 'keys', 'speech', 'cough']"
bus,"['phone', 'clearthroat', 'laughter', 'speech', 'laughter', 'speech', 'clearthroat', 'laughter', 'cough', 'phone']"
bus,"['cough', 'laughter', 'laughter', 'speech', 'keys', 'keys', 'laughter', 'clearthroat', 'laughter', 'clearthroat', 'speech', 'cough', 'cough', 'keys', 'keys', 'phone', 'keys', 'laughter', 'phone', 'speech']"
bus,"['laughter', 'laughter', 'laughter', 'clearthroat', 'cough', 'speech', 'cough', 'clearthroat', 'phone', 'keys', 'cough', 'laughter', 'keys']"
bus,"['clearthroat', 'cough', 'phone', 'laughter', 'clearthroat', 'keys', 'clearthroat', 'keys', 'phone', 'phone', 'phone', 'phone', 'speech', 'keys', 'speech', 'clearthroat', 'speech', 'phone', 'keys']"
bus,"['keys', 'keys', 'keys', 'clearthroat', 'clearthroat', 'speech', 'phone', 'keys', 'keys', 'phone', 'laughter', 'keys', 'clearthroat', 'keys', 'laughter', 'keys']"
bus,"['cough', 'clearthroat', 'phone', 'phone', 'keys', 'laughter', 'cough']"
bus,"['cough', 'laughter', 'laughter', 'speech', 'keys', 'keys', 'laughter', 'clearthroat', 'laughter', 'clearthroat', 'speech', 'cough', 'cough', 'keys', 'keys', 'phone', 'keys', 'laughter', 'phone', 'speech']"
bus,"['keys', 'laughter']"
bus,"['laughter', 'laughter', 'laughter', 'clearthroat', 'cough', 'speech', 'cough', 'clearthroat', 'phone', 'keys', 'cough', 'laughter', 'keys']"
bus,"['clearthroat', 'phone', 'laughter', 'speech', 'keys', 'laughter', 'speech', 'speech', 'phone', 'phone', 'phone', 'laughter', 'cough', 'cough', 'laughter', 'laughter', 'keys', 'speech', 'cough']"
bus,"['keys', 'clearthroat', 'keys', 'laughter', 'speech', 'cough', 'cough', 'laughter', 'keys', 'laughter', 'laughter', 'keys', 'clearthroat', 'laughter', 'cough', 'clearthroat', 'clearthroat', 'clearthroat', 'keys', 'phone']"
bus,"['phone', 'clearthroat', 'laughter', 'speech', 'laughter', 'speech', 'clearthroat', 'laughter', 'cough', 'phone']"
bus,"['phone', 'phone', 'keys', 'clearthroat', 'keys', 'speech', 'clearthroat', 'speech', 'speech', 'keys']"
bus,"['laughter', 'clearthroat', 'laughter', 'clearthroat', 'speech', 'clearthroat', 'laughter', 'phone', 'laughter', 'phone', 'phone', 'laughter', 'phone', 'clearthroat', 'clearthroat', 'laughter', 'keys', 'speech', 'phone']"
bus,"['laughter', 'clearthroat', 'keys', 'laughter', 'laughter', 'clearthroat', 'speech', 'keys', 'speech', 'phone', 'phone', 'cough', 'keys', 'phone', 'keys', 'cough', 'speech', 'cough']"
bus,"['laughter', 'cough', 'laughter', 'clearthroat', 'laughter', 'laughter', 'keys', 'phone', 'speech', 'phone', 'cough', 'clearthroat', 'speech', 'laughter', 'laughter', 'speech', 'speech', 'clearthroat', 'speech', 'keys']"
bus,"['phone', 'phone', 'keys', 'clearthroat', 'keys', 'speech', 'clearthroat', 'speech', 'speech', 'keys']"
bus,"['laughter', 'cough', 'laughter', 'clearthroat', 'laughter', 'laughter', 'keys', 'phone', 'speech', 'phone', 'cough', 'clearthroat', 'speech', 'laughter', 'laughter', 'speech', 'speech', 'clearthroat', 'speech', 'keys']"
bus,"['phone', 'phone', 'keys', 'clearthroat', 'keys', 'speech', 'clearthroat', 'speech', 'speech', 'keys']"
bus,"['laughter', 'clearthroat', 'laughter', 'clearthroat', 'speech', 'clearthroat', 'laughter', 'phone', 'laughter', 'phone', 'phone', 'laughter', 'phone', 'clearthroat', 'clearthroat', 'laughter', 'keys', 'speech', 'phone']"
bus,"['laughter', 'clearthroat', 'keys', 'laughter', 'laughter', 'clearthroat', 'speech', 'keys', 'speech', 'phone', 'phone', 'cough', 'keys', 'phone', 'keys', 'cough', 'speech', 'cough']"
bus,"['laughter', 'cough', 'laughter', 'clearthroat', 'laughter', 'laughter', 'keys', 'phone', 'speech', 'phone', 'cough', 'clearthroat', 'speech', 'laughter', 'laughter', 'speech', 'speech', 'clearthroat', 'speech', 'keys']"
bus,"['cough', 'keys', 'speech', 'keys', 'phone', 'keys', 'speech', 'keys', 'laughter', 'keys', 'phone', 'keys', 'clearthroat', 'speech', 'phone', 'cough']"
bus,"['keys', 'phone', 'speech', 'speech', 'keys', 'speech', 'phone', 'clearthroat', 'phone', 'speech', 'phone', 'clearthroat']"
bus,"['phone', 'phone']"
bus,"['cough', 'cough', 'keys', 'speech', 'phone', 'clearthroat', 'clearthroat', 'speech', 'speech', 'laughter', 'phone', 'speech', 'keys', 'clearthroat']"
bus,"['laughter', 'phone', 'laughter', 'keys', 'keys', 'phone']"
bus,"['cough', 'cough', 'keys', 'speech', 'phone', 'clearthroat', 'clearthroat', 'speech', 'speech', 'laughter', 'phone', 'speech', 'keys', 'clearthroat']"
bus,"['keys', 'cough', 'phone', 'speech', 'clearthroat', 'phone', 'speech', 'laughter', 'laughter', 'phone']"
bus,"['cough', 'keys', 'speech', 'keys', 'phone', 'keys', 'speech', 'keys', 'laughter', 'keys', 'phone', 'keys', 'clearthroat', 'speech', 'phone', 'cough']"
bus,"['keys', 'phone', 'speech', 'speech', 'keys', 'speech', 'phone', 'clearthroat', 'phone', 'speech', 'phone', 'clearthroat']"
bus,"['phone', 'phone']"
bus,"['cough', 'cough', 'keys', 'speech', 'phone', 'clearthroat', 'clearthroat', 'speech', 'speech', 'laughter', 'phone', 'speech', 'keys', 'clearthroat']"
bus,"['cough', 'clearthroat', 'clearthroat', 'speech', 'cough', 'speech', 'laughter', 'cough', 'clearthroat', 'speech', 'laughter', 'clearthroat', 'clearthroat', 'speech', 'speech']"
bus,"['laughter', 'phone', 'laughter', 'keys', 'keys', 'phone']"
bus,"['phone', 'keys', 'laughter', 'cough', 'laughter', 'cough', 'clearthroat', 'laughter', 'cough', 'speech', 'clearthroat', 'laughter', 'cough', 'keys', 'laughter', 'speech', 'laughter', 'speech']"
bus,"['keys', 'laughter', 'laughter', 'laughter', 'cough', 'cough', 'clearthroat']"
bus,"['laughter', 'clearthroat', 'keys', 'clearthroat', 'cough', 'phone', 'speech', 'clearthroat', 'laughter', 'clearthroat', 'cough', 'cough', 'cough']"
bus,"['clearthroat', 'laughter', 'speech', 'clearthroat', 'cough', 'laughter', 'speech', 'phone', 'laughter', 'laughter', 'clearthroat', 'laughter']"
bus,"['laughter', 'phone', 'cough', 'phone', 'laughter', 'cough', 'cough', 'laughter', 'laughter', 'laughter', 'phone', 'laughter', 'laughter', 'phone', 'speech', 'clearthroat']"
bus,"['laughter', 'clearthroat', 'keys', 'clearthroat', 'cough', 'phone', 'speech', 'clearthroat', 'laughter', 'clearthroat', 'cough', 'cough', 'cough']"
bus,"['laughter', 'phone', 'speech', 'speech', 'cough', 'clearthroat', 'phone', 'phone']"
bus,"['cough', 'phone', 'clearthroat', 'phone', 'laughter', 'keys']"
busystreet,"['knock', 'motorbike', 'keylock', 'running', 'motorbike', 'doorclose', 'speech', 'footsteps', 'laughter', 'footsteps', 'speech', 'buspassby', 'doorclose']"
busystreet,"['motorbike', 'wind', 'speech', 'knock', 'laughter', 'buspassby', 'knock', 'laughter', 'motorbike', 'doorclose', 'keylock', 'doorclose', 'running', 'buspassby', 'footsteps', 'wind', 'laughter', 'knock', 'speech', 'running', 'wind', 'motorbike', 'motorbike', 'motorbike', 'motorbike', 'buspassby', 'wind', 'motorbike', 'laughter']"
busystreet,"['knock', 'motorbike', 'keylock', 'running', 'motorbike', 'doorclose', 'speech', 'footsteps', 'laughter', 'footsteps', 'speech', 'buspassby', 'doorclose']"
busystreet,"['motorbike', 'knock', 'knock', 'speech', 'motorbike', 'running', 'keylock', 'knock', 'running', 'doorclose', 'doorclose', 'footsteps', 'keylock', 'doorclose', 'running', 'doorclose', 'keylock', 'running', 'doorclose', 'speech', 'footsteps', 'motorbike', 'running', 'laughter', 'wind', 'buspassby', 'wind', 'knock']"
busystreet,"['knock', 'motorbike', 'keylock', 'running', 'motorbike', 'doorclose', 'speech', 'footsteps', 'laughter', 'footsteps', 'speech', 'buspassby', 'doorclose']"
busystreet,"['motorbike', 'wind', 'speech', 'knock', 'laughter', 'buspassby', 'knock', 'laughter', 'motorbike', 'doorclose', 'keylock', 'doorclose', 'running', 'buspassby', 'footsteps', 'wind', 'laughter', 'knock', 'speech', 'running', 'wind', 'motorbike', 'motorbike', 'motorbike', 'motorbike', 'buspassby', 'wind', 'motorbike', 'laughter']"
busystreet,"['motorbike', 'motorbike', 'keylock', 'wind', 'footsteps', 'doorclose', 'wind', 'buspassby', 'wind', 'buspassby', 'wind', 'wind', 'doorclose', 'laughter', 'motorbike', 'doorclose', 'speech', 'doorclose', 'doorclose', 'buspassby', 'keylock', 'keylock']"
busystreet,"['keylock', 'doorclose', 'keylock', 'keylock', 'motorbike', 'wind', 'speech', 'doorclose', 'doorclose', 'buspassby', 'motorbike', 'knock', 'laughter', 'knock', 'footsteps', 'buspassby']"
busystreet,"['buspassby', 'motorbike', 'laughter', 'running', 'wind', 'wind', 'running', 'footsteps', 'motorbike', 'speech', 'knock', 'knock', 'knock', 'speech', 'running', 'motorbike', 'knock', 'buspassby', 'speech', 'wind', 'footsteps', 'wind', 'running']"
busystreet,"['laughter', 'motorbike', 'keylock', 'motorbike', 'wind', 'motorbike', 'speech', 'motorbike', 'wind', 'keylock', 'motorbike', 'knock', 'speech', 'knock', 'keylock', 'knock', 'knock', 'doorclose', 'doorclose']"
busystreet,"['motorbike', 'motorbike', 'keylock', 'wind', 'footsteps', 'doorclose', 'wind', 'buspassby', 'wind', 'buspassby', 'wind', 'wind', 'doorclose', 'laughter', 'motorbike', 'doorclose', 'speech', 'doorclose', 'doorclose', 'buspassby', 'keylock', 'keylock']"
busystreet,"['keylock', 'doorclose', 'keylock', 'keylock', 'motorbike', 'wind', 'speech', 'doorclose', 'doorclose', 'buspassby', 'motorbike', 'knock', 'laughter', 'knock', 'footsteps', 'buspassby']"
busystreet,"['keylock', 'knock', 'speech', 'speech', 'motorbike', 'speech', 'wind', 'keylock', 'speech', 'motorbike', 'running', 'keylock']"
busystreet,"['buspassby', 'motorbike', 'laughter', 'running', 'wind', 'wind', 'running', 'footsteps', 'motorbike', 'speech', 'knock', 'knock', 'knock', 'speech', 'running', 'motorbike', 'knock', 'buspassby', 'speech', 'wind', 'footsteps', 'wind', 'running']"
busystreet,"['laughter', 'motorbike', 'keylock', 'motorbike', 'wind', 'motorbike', 'speech', 'motorbike', 'wind', 'keylock', 'motorbike', 'knock', 'speech', 'knock', 'keylock', 'knock', 'knock', 'doorclose', 'doorclose']"
busystreet,"['wind', 'buspassby', 'keylock', 'knock', 'motorbike', 'buspassby', 'motorbike', 'motorbike', 'buspassby', 'motorbike', 'knock', 'running', 'keylock', 'buspassby', 'wind', 'wind', 'wind', 'footsteps', 'speech', 'buspassby', 'keylock', 'motorbike', 'wind']"
busystreet,"['motorbike', 'motorbike', 'keylock', 'wind', 'footsteps', 'doorclose', 'wind', 'buspassby', 'wind', 'buspassby', 'wind', 'wind', 'doorclose', 'laughter', 'motorbike', 'doorclose', 'speech', 'doorclose', 'doorclose', 'buspassby', 'keylock', 'keylock']"
busystreet,"['keylock', 'knock', 'speech', 'speech', 'motorbike', 'speech', 'wind', 'keylock', 'speech', 'motorbike', 'running', 'keylock']"
busystreet,"['speech', 'buspassby', 'keylock', 'laughter', 'running', 'wind', 'wind', 'speech', 'doorclose', 'laughter', 'laughter', 'motorbike', 'speech']"
busystreet,"['laughter', 'motorbike', 'motorbike', 'motorbike', 'speech', 'buspassby', 'footsteps', 'laughter', 'footsteps', 'buspassby', 'running', 'running']"
busystreet,"['buspassby', 'motorbike', 'laughter', 'running', 'wind', 'wind', 'running', 'footsteps', 'motorbike', 'speech', 'knock', 'knock', 'knock', 'speech', 'running', 'motorbike', 'knock', 'buspassby', 'speech', 'wind', 'footsteps', 'wind', 'running']"
busystreet,"['laughter', 'motorbike', 'keylock', 'motorbike', 'wind', 'motorbike', 'speech', 'motorbike', 'wind', 'keylock', 'motorbike', 'knock', 'speech', 'knock', 'keylock', 'knock', 'knock', 'doorclose', 'doorclose']"
busystreet,"['wind', 'knock', 'motorbike', 'doorclose', 'footsteps', 'buspassby', 'speech', 'buspassby']"
busystreet,"['laughter', 'footsteps', 'speech', 'footsteps', 'buspassby', 'motorbike', 'speech', 'running', 'doorclose', 'speech', 'laughter', 'buspassby', 'running', 'knock', 'running', 'keylock', 'footsteps', 'speech', 'running', 'motorbike', 'motorbike', 'keylock', 'buspassby', 'laughter', 'speech', 'buspassby', 'speech', 'knock', 'buspassby']"
busystreet,"['speech', 'running', 'footsteps', 'doorclose', 'laughter', 'laughter', 'speech', 'motorbike', 'motorbike', 'footsteps', 'doorclose', 'speech', 'knock', 'footsteps', 'knock', 'laughter', 'wind']"
busystreet,"['speech', 'laughter', 'wind', 'footsteps', 'keylock', 'doorclose', 'doorclose', 'keylock', 'speech', 'buspassby', 'footsteps', 'running', 'buspassby', 'keylock', 'laughter', 'laughter', 'buspassby', 'keylock', 'keylock', 'speech', 'wind', 'doorclose', 'buspassby', 'speech', 'speech', 'buspassby']"
busystreet,"['laughter', 'wind', 'motorbike', 'laughter', 'buspassby', 'doorclose', 'running', 'buspassby', 'buspassby', 'footsteps', 'laughter', 'doorclose', 'laughter', 'running', 'speech', 'knock', 'speech', 'wind', 'knock', 'doorclose', 'wind', 'laughter', 'buspassby', 'footsteps', 'speech', 'knock', 'laughter']"
busystreet,"['buspassby', 'motorbike', 'knock', 'doorclose', 'speech', 'buspassby', 'wind', 'keylock', 'keylock', 'buspassby', 'footsteps', 'speech', 'doorclose', 'doorclose', 'running', 'speech', 'buspassby', 'wind', 'running', 'speech']"
busystreet,"['laughter', 'footsteps', 'speech', 'footsteps', 'buspassby', 'motorbike', 'speech', 'running', 'doorclose', 'speech', 'laughter', 'buspassby', 'running', 'knock', 'running', 'keylock', 'footsteps', 'speech', 'running', 'motorbike', 'motorbike', 'keylock', 'buspassby', 'laughter', 'speech', 'buspassby', 'speech', 'knock', 'buspassby']"
busystreet,"['speech', 'running', 'footsteps', 'doorclose', 'laughter', 'laughter', 'speech', 'motorbike', 'motorbike', 'footsteps', 'doorclose', 'speech', 'knock', 'footsteps', 'knock', 'laughter', 'wind']"
busystreet,"['speech', 'laughter', 'wind', 'footsteps', 'keylock', 'doorclose', 'doorclose', 'keylock', 'speech', 'buspassby', 'footsteps', 'running', 'buspassby', 'keylock', 'laughter', 'laughter', 'buspassby', 'keylock', 'keylock', 'speech', 'wind', 'doorclose', 'buspassby', 'speech', 'speech', 'buspassby']"
busystreet,"['laughter', 'wind', 'motorbike', 'laughter', 'buspassby', 'doorclose', 'running', 'buspassby', 'buspassby', 'footsteps', 'laughter', 'doorclose', 'laughter', 'running', 'speech', 'knock', 'speech', 'wind', 'knock', 'doorclose', 'wind', 'laughter', 'buspassby', 'footsteps', 'speech', 'knock', 'laughter']"
busystreet,"['buspassby', 'motorbike', 'knock', 'doorclose', 'speech', 'buspassby', 'wind', 'keylock', 'keylock', 'buspassby', 'footsteps', 'speech', 'doorclose', 'doorclose', 'running', 'speech', 'buspassby', 'wind', 'running', 'speech']"
busystreet,"['laughter', 'footsteps', 'speech', 'footsteps', 'buspassby', 'motorbike', 'speech', 'running', 'doorclose', 'speech', 'laughter', 'buspassby', 'running', 'knock', 'running', 'keylock', 'footsteps', 'speech', 'running', 'motorbike', 'motorbike', 'keylock', 'buspassby', 'laughter', 'speech', 'buspassby', 'speech', 'knock', 'buspassby']"
busystreet,"['speech', 'running', 'footsteps', 'doorclose', 'laughter', 'laughter', 'speech', 'motorbike', 'motorbike', 'footsteps', 'doorclose', 'speech', 'knock', 'footsteps', 'knock', 'laughter', 'wind']"
busystreet,"['speech', 'laughter', 'wind', 'footsteps', 'keylock', 'doorclose', 'doorclose', 'keylock', 'speech', 'buspassby', 'footsteps', 'running', 'buspassby', 'keylock', 'laughter', 'laughter', 'buspassby', 'keylock', 'keylock', 'speech', 'wind', 'doorclose', 'buspassby', 'speech', 'speech', 'buspassby']"
busystreet,"['laughter', 'wind', 'motorbike', 'laughter', 'buspassby', 'doorclose', 'running', 'buspassby', 'buspassby', 'footsteps', 'laughter', 'doorclose', 'laughter', 'running', 'speech', 'knock', 'speech', 'wind', 'knock', 'doorclose', 'wind', 'laughter', 'buspassby', 'footsteps', 'speech', 'knock', 'laughter']"
busystreet,"['buspassby', 'motorbike', 'knock', 'doorclose', 'speech', 'buspassby', 'wind', 'keylock', 'keylock', 'buspassby', 'footsteps', 'speech', 'doorclose', 'doorclose', 'running', 'speech', 'buspassby', 'wind', 'running', 'speech']"
busystreet,"['doorclose', 'doorclose', 'wind', 'running', 'keylock', 'footsteps', 'knock', 'keylock', 'footsteps', 'laughter', 'knock', 'motorbike', 'buspassby', 'motorbike', 'doorclose', 'doorclose', 'laughter', 'buspassby', 'wind', 'laughter', 'wind', 'doorclose', 'wind', 'footsteps', 'running', 'running']"
busystreet,"['footsteps', 'speech', 'motorbike', 'knock', 'wind', 'buspassby', 'laughter', 'footsteps']"
busystreet,"['footsteps', 'motorbike', 'knock', 'speech', 'knock', 'keylock', 'laughter', 'motorbike', 'keylock', 'laughter', 'doorclose', 'buspassby', 'buspassby', 'speech', 'keylock']"
busystreet,"['doorclose', 'speech', 'speech', 'doorclose', 'running', 'motorbike', 'motorbike', 'speech', 'doorclose', 'laughter', 'knock', 'laughter']"
busystreet,"['running', 'knock', 'buspassby', 'buspassby', 'buspassby', 'speech', 'knock', 'laughter', 'laughter', 'laughter', 'wind']"
busystreet,"['doorclose', 'doorclose', 'wind', 'running', 'keylock', 'footsteps', 'knock', 'keylock', 'footsteps', 'laughter', 'knock', 'motorbike', 'buspassby', 'motorbike', 'doorclose', 'doorclose', 'laughter', 'buspassby', 'wind', 'laughter', 'wind', 'doorclose', 'wind', 'footsteps', 'running', 'running']"
busystreet,"['footsteps', 'speech', 'motorbike', 'knock', 'wind', 'buspassby', 'laughter', 'footsteps']"
busystreet,"['footsteps', 'motorbike', 'knock', 'speech', 'knock', 'keylock', 'laughter', 'motorbike', 'keylock', 'laughter', 'doorclose', 'buspassby', 'buspassby', 'speech', 'keylock']"
busystreet,"['running', 'knock', 'buspassby', 'buspassby', 'buspassby', 'speech', 'knock', 'laughter', 'laughter', 'laughter', 'wind']"
busystreet,"['footsteps', 'speech', 'motorbike', 'knock', 'wind', 'buspassby', 'laughter', 'footsteps']"
busystreet,"['doorclose', 'speech', 'speech', 'doorclose', 'running', 'motorbike', 'motorbike', 'speech', 'doorclose', 'laughter', 'knock', 'laughter']"
busystreet,"['speech', 'knock', 'motorbike', 'motorbike', 'running', 'keylock', 'footsteps', 'running', 'laughter', 'running', 'footsteps', 'keylock', 'wind', 'motorbike', 'footsteps', 'running', 'laughter', 'wind', 'wind', 'knock', 'wind', 'knock', 'running', 'wind', 'knock', 'running', 'wind', 'doorclose', 'laughter']"
busystreet,"['motorbike', 'doorclose', 'laughter', 'motorbike', 'footsteps', 'motorbike', 'speech', 'doorclose', 'keylock', 'motorbike', 'keylock', 'running', 'running', 'buspassby', 'knock', 'buspassby', 'laughter', 'doorclose', 'doorclose', 'speech', 'keylock', 'motorbike']"
busystreet,"['motorbike', 'doorclose', 'laughter', 'motorbike', 'footsteps', 'motorbike', 'speech', 'doorclose', 'keylock', 'motorbike', 'keylock', 'running', 'running', 'buspassby', 'knock', 'buspassby', 'laughter', 'doorclose', 'doorclose', 'speech', 'keylock', 'motorbike']"
busystreet,"['wind', 'laughter', 'doorclose']"
busystreet,"['buspassby', 'motorbike', 'footsteps', 'motorbike', 'motorbike', 'motorbike', 'wind', 'knock']"
busystreet,"['knock', 'motorbike', 'doorclose', 'knock', 'buspassby']"
busystreet,"['footsteps', 'knock', 'laughter', 'knock', 'knock', 'knock', 'speech', 'knock', 'running', 'wind', 'speech', 'keylock', 'knock', 'wind', 'knock', 'footsteps', 'wind', 'wind', 'wind', 'buspassby', 'footsteps', 'buspassby', 'speech', 'speech', 'footsteps', 'footsteps', 'speech', 'footsteps', 'buspassby', 'speech']"
busystreet,"['wind', 'wind', 'knock', 'buspassby', 'motorbike', 'buspassby', 'knock', 'doorclose', 'wind', 'running', 'wind', 'running', 'speech', 'footsteps', 'doorclose', 'knock', 'knock', 'speech', 'keylock', 'running', 'doorclose', 'doorclose']"
busystreet,"['running', 'motorbike', 'running', 'speech', 'motorbike', 'wind', 'laughter', 'motorbike', 'laughter', 'knock', 'buspassby', 'wind', 'footsteps', 'doorclose', 'footsteps']"
busystreet,"['wind', 'laughter', 'doorclose']"
busystreet,"['buspassby', 'motorbike', 'footsteps', 'motorbike', 'motorbike', 'motorbike', 'wind', 'knock']"
