lake,motorbike,mindthegap,speech,laughter,footstepsongrass,keylock,switch,trolley,keys,knock,train,cooking,cough,pushbike,doorslam,buspassby,checkoutbeeps,drawer,phone,doorclose,lightrain,running,gate,birdsong,footsteps,money,clearthroat,slidingDoorclose,wind,chairsmoving,bagrustle
[[0.7148506]],[[0.7071326]],[[0.65606284]],[[0.54062855]],[[0.4404919]],[[0.637854]],[[0.6937114]],[[0.6870762]],[[0.69930094]],[[0.7152359]],[[0.47994924]],[[0.6677147]],[[0.71386707]],[[0.61162883]],[[0.683477]],[[0.56867933]],[[0.7488907]],[[0.65639544]],[[0.7459638]],[[0.6404071]],[[0.6265459]],[[0.7237486]],[[0.6919967]],[[0.698019]],[[0.54196423]],[[0.6200709]],[[0.65067744]],[[0.72791314]],[[0.628626]],[[0.6568563]],[[0.7602197]],[[0.6556517]]
[[0.6513889]],[[0.71769625]],[[0.68962234]],[[0.4524758]],[[0.48874986]],[[0.6592797]],[[0.72861725]],[[0.67245466]],[[0.7672647]],[[0.80022293]],[[0.52359486]],[[0.61920303]],[[0.6725027]],[[0.57267547]],[[0.69701874]],[[0.6892891]],[[0.7534478]],[[0.6559817]],[[0.71574926]],[[0.65902364]],[[0.6993189]],[[0.7761692]],[[0.63715255]],[[0.6952155]],[[0.60873747]],[[0.65642583]],[[0.68083054]],[[0.63649297]],[[0.78105056]],[[0.6758749]],[[0.69790655]],[[0.7045145]]
[[0.70502746]],[[0.7241055]],[[0.6829246]],[[0.556172]],[[0.5567781]],[[0.60073626]],[[0.7258106]],[[0.6764941]],[[0.7276726]],[[0.72953236]],[[0.5715316]],[[0.6362111]],[[0.712682]],[[0.6025501]],[[0.71889615]],[[0.6771816]],[[0.76401246]],[[0.6887108]],[[0.73726773]],[[0.668389]],[[0.713665]],[[0.73455644]],[[0.631935]],[[0.6225283]],[[0.5495977]],[[0.63198006]],[[0.6963671]],[[0.7025919]],[[0.7715249]],[[0.68636227]],[[0.7781671]],[[0.6904268]]
[[0.70100415]],[[0.68420744]],[[0.7066678]],[[0.4792617]],[[0.49117166]],[[0.63049805]],[[0.7181659]],[[0.69626564]],[[0.72997814]],[[0.78036857]],[[0.5837055]],[[0.6314904]],[[0.678719]],[[0.61276144]],[[0.7156347]],[[0.63875115]],[[0.7766379]],[[0.73184735]],[[0.73549646]],[[0.5887007]],[[0.6433508]],[[0.708884]],[[0.62514216]],[[0.65692276]],[[0.55705947]],[[0.5930587]],[[0.6665618]],[[0.73504865]],[[0.7403786]],[[0.66160524]],[[0.69384766]],[[0.7571201]]
[[0.713047]],[[0.70287204]],[[0.6245228]],[[0.49369597]],[[0.44550103]],[[0.64886534]],[[0.71074957]],[[0.6716367]],[[0.79179585]],[[0.75705874]],[[0.5781052]],[[0.6526611]],[[0.637404]],[[0.5329731]],[[0.7253518]],[[0.66006094]],[[0.76224214]],[[0.66980124]],[[0.7383597]],[[0.6407746]],[[0.69021237]],[[0.7102152]],[[0.5840849]],[[0.67760396]],[[0.63173825]],[[0.61082786]],[[0.6678646]],[[0.67683965]],[[0.7235584]],[[0.6662198]],[[0.65890723]],[[0.6634664]]
[[0.75394434]],[[0.82579714]],[[0.62327343]],[[0.46618438]],[[0.55650175]],[[0.5479874]],[[0.7568702]],[[0.7027656]],[[0.796174]],[[0.74358153]],[[0.60666776]],[[0.68048596]],[[0.70428026]],[[0.50240505]],[[0.847729]],[[0.6613094]],[[0.7709718]],[[0.81784415]],[[0.7124208]],[[0.6335938]],[[0.67777485]],[[0.72033346]],[[0.66317344]],[[0.72043467]],[[0.5790828]],[[0.51762664]],[[0.67024654]],[[0.78019756]],[[0.64723647]],[[0.66337067]],[[0.7359183]],[[0.74210083]]
[[0.65635407]],[[0.69582283]],[[0.59992003]],[[0.43533218]],[[0.]],[[0.59647167]],[[0.7651677]],[[0.7058473]],[[0.66052085]],[[0.7516463]],[[0.55956215]],[[0.6332029]],[[0.64571977]],[[0.5480218]],[[0.7205925]],[[0.66966265]],[[0.76372445]],[[0.6328486]],[[0.71573293]],[[0.6367777]],[[0.66285694]],[[0.5788586]],[[0.5837118]],[[0.7101286]],[[0.6006751]],[[0.61743176]],[[0.55148304]],[[0.7384065]],[[0.73691446]],[[0.6314797]],[[0.65992326]],[[0.7004636]]
[[0.7741561]],[[0.72766626]],[[0.69912827]],[[0.54554623]],[[0.24833143]],[[0.6329066]],[[0.8004997]],[[0.7575682]],[[0.7193493]],[[0.8153316]],[[0.62820756]],[[0.7203002]],[[0.75406325]],[[0.5882987]],[[0.7329446]],[[0.70347345]],[[0.78530556]],[[0.63080275]],[[0.7688757]],[[0.6838816]],[[0.6759862]],[[0.6558582]],[[0.71198064]],[[0.7347461]],[[0.59631634]],[[0.6735423]],[[0.66468656]],[[0.7612708]],[[0.73389083]],[[0.72523594]],[[0.70978075]],[[0.6955128]]
[[0.73620653]],[[0.7106193]],[[0.5977127]],[[0.5263108]],[[0.16122532]],[[0.6475346]],[[0.7580583]],[[0.7140498]],[[0.6365854]],[[0.7536096]],[[0.56314677]],[[0.6821187]],[[0.71539575]],[[0.5431489]],[[0.6817876]],[[0.6597986]],[[0.75363636]],[[0.6068691]],[[0.7546736]],[[0.6626713]],[[0.68897605]],[[0.60392547]],[[0.6843252]],[[0.7036041]],[[0.63948995]],[[0.6483112]],[[0.61617094]],[[0.7617645]],[[0.71179056]],[[0.72313356]],[[0.678944]],[[0.6648208]]
[[0.72271836]],[[0.63789296]],[[0.615489]],[[0.59931046]],[[0.43048465]],[[0.59361464]],[[0.66255736]],[[0.6840017]],[[0.6472986]],[[0.6630336]],[[0.62613016]],[[0.68725324]],[[0.671832]],[[0.61332613]],[[0.6458913]],[[0.68142986]],[[0.77196497]],[[0.6212288]],[[0.67601085]],[[0.6652332]],[[0.6622371]],[[0.64749116]],[[0.6705009]],[[0.7330158]],[[0.64082336]],[[0.66705436]],[[0.61859053]],[[0.68292975]],[[0.70577574]],[[0.7209924]],[[0.7130906]],[[0.71810985]]
[[0.7457338]],[[0.6789777]],[[0.6769513]],[[0.6179062]],[[0.2482673]],[[0.6620352]],[[0.79576486]],[[0.75482816]],[[0.68288404]],[[0.79294026]],[[0.5774082]],[[0.70387256]],[[0.69024485]],[[0.5641734]],[[0.6613855]],[[0.6979002]],[[0.7734127]],[[0.65453196]],[[0.70940125]],[[0.7255244]],[[0.71206415]],[[0.6252892]],[[0.69426954]],[[0.75159574]],[[0.6236148]],[[0.691981]],[[0.65986913]],[[0.7301876]],[[0.770813]],[[0.65496945]],[[0.7103416]],[[0.6262878]]
[[0.75135994]],[[0.67781836]],[[0.6203178]],[[0.52449656]],[[0.23689574]],[[0.59467536]],[[0.74693227]],[[0.7359844]],[[0.6556023]],[[0.7233827]],[[0.577476]],[[0.6716221]],[[0.6274606]],[[0.5539013]],[[0.6956918]],[[0.7437763]],[[0.85481644]],[[0.6281571]],[[0.7078734]],[[0.6765446]],[[0.721462]],[[0.6830002]],[[0.67903477]],[[0.7502038]],[[0.6142714]],[[0.60441536]],[[0.6365743]],[[0.703094]],[[0.7586437]],[[0.7019326]],[[0.61462724]],[[0.6904799]]
[[0.65768164]],[[0.7472371]],[[0.64850414]],[[0.5243243]],[[0.41315508]],[[0.61842465]],[[0.6768138]],[[0.74233675]],[[0.7296766]],[[0.6202704]],[[0.53887796]],[[0.6622521]],[[0.63455135]],[[0.5422132]],[[0.7685317]],[[0.68810606]],[[0.76681745]],[[0.76591265]],[[0.72206235]],[[0.64240754]],[[0.6770915]],[[0.64124644]],[[0.5690497]],[[0.7015496]],[[0.60771894]],[[0.6228552]],[[0.58075297]],[[0.73236275]],[[0.6792672]],[[0.66240776]],[[0.6728961]],[[0.70399934]]
[[0.7286012]],[[0.70607984]],[[0.6922358]],[[0.5308651]],[[0.52638793]],[[0.60629064]],[[0.7367054]],[[0.710855]],[[0.7434002]],[[0.7284909]],[[0.5702143]],[[0.6707297]],[[0.70730704]],[[0.5893223]],[[0.7301221]],[[0.7754423]],[[0.775024]],[[0.7393026]],[[0.73458487]],[[0.6446942]],[[0.6992654]],[[0.7175127]],[[0.6823791]],[[0.71084493]],[[0.508162]],[[0.63279325]],[[0.66667205]],[[0.7110904]],[[0.75275934]],[[0.7320623]],[[0.70966494]],[[0.7145977]]
[[0.7080555]],[[0.8126253]],[[0.61560196]],[[0.5658957]],[[0.57905173]],[[0.59115654]],[[0.77284557]],[[0.7610778]],[[0.7325502]],[[0.79033595]],[[0.5924261]],[[0.6287732]],[[0.7143646]],[[0.56808126]],[[0.7849853]],[[0.5941495]],[[0.7476982]],[[0.7523799]],[[0.7710132]],[[0.6884711]],[[0.6956132]],[[0.58019674]],[[0.70603347]],[[0.73563296]],[[0.5717591]],[[0.5837704]],[[0.6843134]],[[0.7531556]],[[0.6988958]],[[0.6987115]],[[0.7310963]],[[0.6967011]]
[[0.6708318]],[[0.7075712]],[[0.66150415]],[[0.54126656]],[[0.48929465]],[[0.6279459]],[[0.7565682]],[[0.7132617]],[[0.7188727]],[[0.7663866]],[[0.6106041]],[[0.63674426]],[[0.6553725]],[[0.54445314]],[[0.73799646]],[[0.6737122]],[[0.76619995]],[[0.7347658]],[[0.7359372]],[[0.6599517]],[[0.6923615]],[[0.63759005]],[[0.70702374]],[[0.6540928]],[[0.4964369]],[[0.62908876]],[[0.68281335]],[[0.73120594]],[[0.71518147]],[[0.5782778]],[[0.67464554]],[[0.72471625]]
[[0.65520954]],[[0.76876044]],[[0.5846391]],[[0.51426035]],[[0.39307165]],[[0.6199508]],[[0.6774056]],[[0.6873889]],[[0.66186047]],[[0.616117]],[[0.527883]],[[0.63885427]],[[0.6717017]],[[0.47048295]],[[0.72672844]],[[0.6714878]],[[0.70649165]],[[0.6462263]],[[0.7014725]],[[0.6629112]],[[0.6573302]],[[0.61800945]],[[0.62799597]],[[0.6484767]],[[0.62624717]],[[0.6337278]],[[0.58717585]],[[0.69774294]],[[0.6979743]],[[0.57501966]],[[0.6864519]],[[0.6129941]]
[[0.73160017]],[[0.75812626]],[[0.67946446]],[[0.48417473]],[[0.46547103]],[[0.58520484]],[[0.7630861]],[[0.7484003]],[[0.7458329]],[[0.7337183]],[[0.68274426]],[[0.630485]],[[0.53799665]],[[0.58932805]],[[0.79527]],[[0.72040033]],[[0.7606069]],[[0.7434192]],[[0.7842438]],[[0.6385104]],[[0.73092365]],[[0.6919112]],[[0.56155485]],[[0.74186575]],[[0.43993634]],[[0.6297555]],[[0.62996936]],[[0.71368283]],[[0.79197264]],[[0.66119885]],[[0.69515705]],[[0.77187264]]
[[0.74490637]],[[0.7896613]],[[0.7164403]],[[0.61432064]],[[0.6430333]],[[0.59120035]],[[0.783397]],[[0.70216894]],[[0.6923819]],[[0.68348813]],[[0.76255465]],[[0.59974754]],[[0.60595644]],[[0.6365303]],[[0.80546176]],[[0.68089944]],[[0.7578951]],[[0.7741053]],[[0.7122654]],[[0.64758813]],[[0.72168547]],[[0.67518413]],[[0.6335394]],[[0.68730056]],[[0.51530427]],[[0.64192283]],[[0.683993]],[[0.7523775]],[[0.8034794]],[[0.66783065]],[[0.67562443]],[[0.75042427]]
[[0.66559994]],[[0.6012759]],[[0.57827765]],[[0.5489967]],[[0.5996553]],[[0.5922286]],[[0.68927634]],[[0.7255434]],[[0.66628766]],[[0.7457265]],[[0.6055552]],[[0.6623872]],[[0.59648186]],[[0.5916951]],[[0.5930827]],[[0.6770509]],[[0.68714887]],[[0.6656441]],[[0.6889464]],[[0.7001581]],[[0.68390787]],[[0.74703526]],[[0.6195388]],[[0.68725514]],[[0.6284131]],[[0.6066502]],[[0.68018496]],[[0.7867148]],[[0.75214213]],[[0.642727]],[[0.6721455]],[[0.6715588]]
[[0.67934793]],[[0.6997348]],[[0.65594006]],[[0.49258494]],[[0.5733019]],[[0.58526057]],[[0.7078549]],[[0.7111487]],[[0.74826646]],[[0.74693453]],[[0.64392626]],[[0.5906726]],[[0.68730354]],[[0.59379417]],[[0.7120444]],[[0.65667325]],[[0.7237913]],[[0.82854176]],[[0.6540246]],[[0.6364923]],[[0.66978395]],[[0.7596944]],[[0.6521734]],[[0.6397939]],[[0.4986356]],[[0.5811062]],[[0.70577216]],[[0.6858717]],[[0.75085044]],[[0.6562718]],[[0.7583338]],[[0.74097586]]
[[0.673359]],[[0.68417454]],[[0.5355296]],[[0.5316241]],[[0.56981844]],[[0.62089014]],[[0.6561285]],[[0.7092742]],[[0.7069832]],[[0.6970689]],[[0.6366684]],[[0.64014983]],[[0.67074394]],[[0.6393249]],[[0.72868854]],[[0.635622]],[[0.7544534]],[[0.71258914]],[[0.6671539]],[[0.60434914]],[[0.69980395]],[[0.78781766]],[[0.61585456]],[[0.6018563]],[[0.6416827]],[[0.62719953]],[[0.6385094]],[[0.67404634]],[[0.7855803]],[[0.6718463]],[[0.72873765]],[[0.6982287]]
[[0.73124546]],[[0.7717214]],[[0.72778463]],[[0.6150358]],[[0.58022964]],[[0.641201]],[[0.7776662]],[[0.77641696]],[[0.84420717]],[[0.7506702]],[[0.7380469]],[[0.74006414]],[[0.6680513]],[[0.66735274]],[[0.80255085]],[[0.69765586]],[[0.7726009]],[[0.71973073]],[[0.8303606]],[[0.73660636]],[[0.76638377]],[[0.7500198]],[[0.6869644]],[[0.7489043]],[[0.4974838]],[[0.68781674]],[[0.6993381]],[[0.7208033]],[[0.8159853]],[[0.7403998]],[[0.78544146]],[[0.79274046]]
[[0.7369514]],[[0.7672902]],[[0.7378777]],[[0.61425376]],[[0.5894014]],[[0.6758051]],[[0.7992842]],[[0.7821925]],[[0.82533216]],[[0.78597903]],[[0.7567141]],[[0.6950379]],[[0.62730473]],[[0.6995616]],[[0.81671906]],[[0.7237177]],[[0.8160819]],[[0.7667029]],[[0.792282]],[[0.72352254]],[[0.79884666]],[[0.74183977]],[[0.67292506]],[[0.75394624]],[[0.5261646]],[[0.69163376]],[[0.7112807]],[[0.78176916]],[[0.84465295]],[[0.7084795]],[[0.77697355]],[[0.81376845]]
[[0.7813487]],[[0.780193]],[[0.70673835]],[[0.56619763]],[[0.54597414]],[[0.6307417]],[[0.7837378]],[[0.78522444]],[[0.74730915]],[[0.7900953]],[[0.7115696]],[[0.679693]],[[0.67151517]],[[0.67826295]],[[0.78266096]],[[0.7368002]],[[0.8075327]],[[0.73262393]],[[0.7786359]],[[0.68575597]],[[0.7461927]],[[0.7080759]],[[0.68400294]],[[0.73078215]],[[0.48766714]],[[0.66589165]],[[0.71871305]],[[0.7434232]],[[0.78740263]],[[0.70737195]],[[0.7511376]],[[0.7574214]]
[[0.7997366]],[[0.756979]],[[0.7029964]],[[0.61690474]],[[0.6418772]],[[0.6426237]],[[0.8113655]],[[0.7781978]],[[0.8482484]],[[0.816026]],[[0.72627985]],[[0.70143676]],[[0.6359964]],[[0.69189656]],[[0.7942235]],[[0.7078877]],[[0.816522]],[[0.71606326]],[[0.8532524]],[[0.71217656]],[[0.8312917]],[[0.72749174]],[[0.6929686]],[[0.76668394]],[[0.5491049]],[[0.7030231]],[[0.7257014]],[[0.6733096]],[[0.8470002]],[[0.730594]],[[0.73794246]],[[0.7024039]]
[[0.7118197]],[[0.6516964]],[[0.6454394]],[[0.61340183]],[[0.6368832]],[[0.646837]],[[0.63103086]],[[0.65486825]],[[0.723069]],[[0.70549774]],[[0.5809739]],[[0.63062847]],[[0.5755424]],[[0.69850624]],[[0.7019466]],[[0.65429294]],[[0.74864936]],[[0.6767523]],[[0.7047245]],[[0.57374465]],[[0.6699872]],[[0.70794463]],[[0.5945219]],[[0.70907485]],[[0.6319941]],[[0.6124071]],[[0.60607266]],[[0.79017013]],[[0.715029]],[[0.6612845]],[[0.67307585]],[[0.70311266]]
[[0.7074689]],[[0.6815146]],[[0.6022734]],[[0.5838188]],[[0.56616867]],[[0.6232124]],[[0.69489896]],[[0.70620835]],[[0.6509801]],[[0.7436164]],[[0.64816695]],[[0.67961764]],[[0.66461587]],[[0.6180511]],[[0.7686484]],[[0.5978997]],[[0.6728652]],[[0.68275297]],[[0.6965427]],[[0.6041515]],[[0.65921134]],[[0.68549114]],[[0.5733617]],[[0.62641394]],[[0.41725433]],[[0.6295928]],[[0.6639431]],[[0.6977071]],[[0.70147026]],[[0.5721309]],[[0.71397144]],[[0.70943224]]
[[0.6973057]],[[0.75537384]],[[0.5747856]],[[0.5255605]],[[0.38560557]],[[0.57830656]],[[0.7061947]],[[0.7055307]],[[0.6172122]],[[0.71900964]],[[0.54172945]],[[0.5712427]],[[0.6856083]],[[0.4892044]],[[0.6978942]],[[0.608034]],[[0.7060922]],[[0.6463666]],[[0.61805105]],[[0.65642947]],[[0.6581768]],[[0.5852937]],[[0.65738684]],[[0.65114605]],[[0.64068365]],[[0.60599154]],[[0.5996694]],[[0.7162734]],[[0.6770071]],[[0.67300713]],[[0.6560964]],[[0.6520127]]
[[0.7570129]],[[0.73152983]],[[0.6195405]],[[0.583147]],[[0.53636074]],[[0.56252396]],[[0.7619086]],[[0.6723821]],[[0.6183773]],[[0.76298654]],[[0.6033996]],[[0.5994191]],[[0.7045317]],[[0.55251855]],[[0.6664996]],[[0.6122971]],[[0.6969867]],[[0.6516601]],[[0.6766675]],[[0.63110936]],[[0.72628915]],[[0.6669378]],[[0.66803813]],[[0.6620368]],[[0.63328904]],[[0.55983984]],[[0.6489552]],[[0.67313147]],[[0.7712964]],[[0.7253048]],[[0.73395854]],[[0.6386931]]
[[0.62543535]],[[0.71558034]],[[0.56640613]],[[0.5497265]],[[0.48229373]],[[0.50673914]],[[0.80284953]],[[0.6402412]],[[0.69934464]],[[0.7749677]],[[0.5939451]],[[0.6106414]],[[0.60707206]],[[0.5155122]],[[0.7371681]],[[0.6323926]],[[0.7804122]],[[0.703493]],[[0.71784157]],[[0.6206721]],[[0.66135824]],[[0.6750618]],[[0.5585967]],[[0.6838639]],[[0.3998133]],[[0.51538116]],[[0.657722]],[[0.71136004]],[[0.65831697]],[[0.5076233]],[[0.6989545]],[[0.7309082]]
[[0.6767713]],[[0.6753209]],[[0.5947486]],[[0.5178558]],[[0.5050962]],[[0.62248635]],[[0.71278167]],[[0.7367468]],[[0.69382113]],[[0.6475526]],[[0.6360285]],[[0.6257598]],[[0.6204556]],[[0.45170373]],[[0.7172893]],[[0.7199509]],[[0.7461294]],[[0.6963091]],[[0.71688026]],[[0.69708323]],[[0.6553597]],[[0.679116]],[[0.51467955]],[[0.64792264]],[[0.68890023]],[[0.5534814]],[[0.6376822]],[[0.7535601]],[[0.7262213]],[[0.5529387]],[[0.66764635]],[[0.63628256]]
[[0.73269236]],[[0.6977955]],[[0.5578001]],[[0.58873403]],[[0.47155786]],[[0.7116832]],[[0.685483]],[[0.7135696]],[[0.7451538]],[[0.64037573]],[[0.55965686]],[[0.7047498]],[[0.6394755]],[[0.49100363]],[[0.70418966]],[[0.65655565]],[[0.78187025]],[[0.5654898]],[[0.718035]],[[0.71398795]],[[0.6582439]],[[0.7097037]],[[0.6083547]],[[0.69928825]],[[0.59031993]],[[0.72832453]],[[0.646845]],[[0.70196235]],[[0.6727223]],[[0.5383792]],[[0.6942388]],[[0.61307454]]
[[0.70415354]],[[0.7308421]],[[0.6471991]],[[0.57169324]],[[0.5824853]],[[0.57235384]],[[0.6778878]],[[0.7433267]],[[0.77702343]],[[0.719012]],[[0.60288274]],[[0.660169]],[[0.6578325]],[[0.49816006]],[[0.7896019]],[[0.72505635]],[[0.7388497]],[[0.7857076]],[[0.68360114]],[[0.70970917]],[[0.64624774]],[[0.73955345]],[[0.6306348]],[[0.6974454]],[[0.5584705]],[[0.6239331]],[[0.7023282]],[[0.71199226]],[[0.67848396]],[[0.6467915]],[[0.6673417]],[[0.7180604]]
[[0.696744]],[[0.844302]],[[0.62981594]],[[0.6120696]],[[0.49239922]],[[0.67270964]],[[0.7770475]],[[0.7351575]],[[0.74512684]],[[0.6805817]],[[0.60413635]],[[0.69904757]],[[0.70208436]],[[0.4640907]],[[0.7668127]],[[0.67166907]],[[0.78776383]],[[0.6443838]],[[0.77717555]],[[0.7140755]],[[0.7402595]],[[0.70537865]],[[0.65423316]],[[0.70174444]],[[0.6677778]],[[0.69038635]],[[0.6341702]],[[0.68320346]],[[0.77411604]],[[0.66397995]],[[0.7644903]],[[0.6410615]]
[[0.77509415]],[[0.6876928]],[[0.74241304]],[[0.74980575]],[[0.7138126]],[[0.7335892]],[[0.7157729]],[[0.6075864]],[[0.68741]],[[0.6772889]],[[0.7113022]],[[0.6905335]],[[0.6080902]],[[0.6950033]],[[0.651]],[[0.7068067]],[[0.8302084]],[[0.7156023]],[[0.66211367]],[[0.6856258]],[[0.71477014]],[[0.70295525]],[[0.70018876]],[[0.7290716]],[[0.68832356]],[[0.7261406]],[[0.6833787]],[[0.7139932]],[[0.7185712]],[[0.66777974]],[[0.56464213]],[[0.751906]]
[[0.67906857]],[[0.7644572]],[[0.64721984]],[[0.6360401]],[[0.56703067]],[[0.6856724]],[[0.7236298]],[[0.7404704]],[[0.6227057]],[[0.73949045]],[[0.62519795]],[[0.6562723]],[[0.73921746]],[[0.51566815]],[[0.7191347]],[[0.6692888]],[[0.7147898]],[[0.6481522]],[[0.78725064]],[[0.71603703]],[[0.75918996]],[[0.684447]],[[0.6173066]],[[0.7409369]],[[0.68798447]],[[0.73392797]],[[0.69056726]],[[0.69060266]],[[0.8142152]],[[0.68196344]],[[0.7640343]],[[0.6266609]]
