cough,pushbike,drawer,cooking,keys,slidingDoorclose,train,lake,switch,buspassby,footstepsongrass,lightrain,chairsmoving,doorclose,knock,mindthegap,motorbike,birdsong,keylock,wind,trolley,bagrustle,laughter,footsteps,gate,checkoutbeeps,running,doorslam,speech,clearthroat,money,phone
[[0.79814905]],[[0.7798648]],[[0.7904242]],[[0.7263139]],[[0.8117923]],[[0.8385623]],[[0.80070746]],[[0.839391]],[[0.7790054]],[[0.81820005]],[[0.81859475]],[[0.8212412]],[[0.7634516]],[[0.8333235]],[[0.6638306]],[[0.5986163]],[[0.8009721]],[[0.7586938]],[[0.8353478]],[[0.7610915]],[[0.86364985]],[[0.82562065]],[[0.7734263]],[[0.82969844]],[[0.77799785]],[[0.7920361]],[[0.81806874]],[[0.8252821]],[[0.79334897]],[[0.84534305]],[[0.7578252]],[[0.6941224]]
[[0.682225]],[[0.7589482]],[[0.85176]],[[0.759109]],[[0.8219018]],[[0.8612102]],[[0.6847976]],[[0.7952235]],[[0.7074423]],[[0.79991204]],[[0.78970754]],[[0.8519041]],[[0.81077147]],[[0.7544827]],[[0.64295316]],[[0.8034713]],[[0.816612]],[[0.6492635]],[[0.8005521]],[[0.7213951]],[[0.74151397]],[[0.7748202]],[[0.6568012]],[[0.74672747]],[[0.7280785]],[[0.7800706]],[[0.68181145]],[[0.74057674]],[[0.6408206]],[[0.8593675]],[[0.7046191]],[[0.7264786]]
[[0.7714658]],[[0.7809907]],[[0.83179665]],[[0.8544482]],[[0.81966186]],[[0.8815093]],[[0.76859194]],[[0.78898174]],[[0.7454982]],[[0.8727155]],[[0.831546]],[[0.7226335]],[[0.78884435]],[[0.75366604]],[[0.7193347]],[[0.72080797]],[[0.7929945]],[[0.7402779]],[[0.83939373]],[[0.7036207]],[[0.9227557]],[[0.79060477]],[[0.7096498]],[[0.8251393]],[[0.78154856]],[[0.901733]],[[0.7474372]],[[0.7426979]],[[0.7266568]],[[0.8305963]],[[0.7561692]],[[0.77678573]]
[[0.83206934]],[[0.8460399]],[[0.9803864]],[[0.9053045]],[[0.87607193]],[[1.0115728]],[[0.8710524]],[[0.9143817]],[[0.912967]],[[0.88673234]],[[0.82119143]],[[0.90198016]],[[0.8567097]],[[0.9217133]],[[0.8377728]],[[0.9201347]],[[0.9189072]],[[0.7364336]],[[0.91762257]],[[0.8497125]],[[0.8231046]],[[0.8850517]],[[0.7319782]],[[0.7845604]],[[0.8841694]],[[0.8706723]],[[0.91854286]],[[0.7963788]],[[0.6530674]],[[0.95362383]],[[0.8685651]],[[0.8566289]]
[[0.6653283]],[[0.6485816]],[[0.80505043]],[[0.6951357]],[[0.8386127]],[[0.8206343]],[[0.7225878]],[[0.74522257]],[[0.6941587]],[[0.8344969]],[[0.7085265]],[[0.8045394]],[[0.67748404]],[[0.69109184]],[[0.6991738]],[[0.8239587]],[[0.7059148]],[[0.6272317]],[[0.81294155]],[[0.7098025]],[[0.746389]],[[0.7664024]],[[0.4181924]],[[0.61041415]],[[0.7160978]],[[0.83684766]],[[0.63698554]],[[0.6157082]],[[0.5832576]],[[0.8749752]],[[0.61966497]],[[0.61918503]]
[[0.7041293]],[[0.8112932]],[[0.88804764]],[[0.755128]],[[0.774068]],[[0.84349453]],[[0.84356034]],[[0.7593138]],[[0.7771709]],[[0.84189665]],[[0.69687134]],[[0.72249794]],[[0.76096857]],[[0.7027527]],[[0.68980634]],[[0.7814839]],[[0.83295035]],[[0.55365276]],[[0.7414348]],[[0.65202653]],[[0.8011732]],[[0.79005706]],[[0.6359296]],[[0.6374108]],[[0.7445768]],[[0.8954822]],[[0.74574476]],[[0.6442534]],[[0.57827836]],[[0.76706564]],[[0.73829997]],[[0.6461084]]
[[0.546255]],[[0.7964722]],[[0.75686073]],[[0.7068089]],[[0.7942365]],[[0.8273042]],[[0.74637634]],[[0.8317695]],[[0.7182894]],[[0.8851368]],[[0.7976331]],[[0.7554474]],[[0.76760894]],[[0.74195904]],[[0.68455976]],[[0.8111519]],[[0.7914825]],[[0.7434539]],[[0.8125306]],[[0.6762364]],[[0.7999629]],[[0.7877842]],[[0.]],[[0.6824607]],[[0.79265976]],[[0.87337697]],[[0.6639749]],[[0.71463776]],[[0.67077255]],[[0.8618369]],[[0.6164009]],[[0.65188324]]
[[0.67018104]],[[0.7953819]],[[0.7796719]],[[0.7240083]],[[0.87322676]],[[0.84508765]],[[0.70830697]],[[0.8038614]],[[0.75334966]],[[0.85458416]],[[0.79919696]],[[0.8025018]],[[0.7386022]],[[0.7654247]],[[0.68822825]],[[0.8216114]],[[0.8129988]],[[0.7253001]],[[0.87811613]],[[0.7034368]],[[0.7832489]],[[0.7921519]],[[0.23210484]],[[0.6850579]],[[0.79181874]],[[0.8356707]],[[0.70672905]],[[0.71313643]],[[0.71164227]],[[0.882578]],[[0.71673596]],[[0.71400094]]
[[0.5784197]],[[0.7985817]],[[0.7827731]],[[0.8155314]],[[0.8006575]],[[0.79327464]],[[0.753478]],[[0.89941096]],[[0.7418932]],[[0.8753166]],[[0.8080011]],[[0.8032303]],[[0.798403]],[[0.7270781]],[[0.53501624]],[[0.74697876]],[[0.79950356]],[[0.7256031]],[[0.88082767]],[[0.72593236]],[[0.75799507]],[[0.8029632]],[[0.3757385]],[[0.7190043]],[[0.8086156]],[[0.7700332]],[[0.74452084]],[[0.72327304]],[[0.7671459]],[[0.8050527]],[[0.6885095]],[[0.76616055]]
[[0.7451967]],[[0.7103001]],[[0.78175217]],[[0.7288679]],[[0.7591475]],[[0.72659045]],[[0.82190686]],[[0.89301574]],[[0.7203144]],[[0.9051018]],[[0.8236542]],[[0.81347096]],[[0.7767111]],[[0.7130235]],[[0.73006827]],[[0.738556]],[[0.7665171]],[[0.71172523]],[[0.81056696]],[[0.78050137]],[[0.75930506]],[[0.71870226]],[[0.67605966]],[[0.76352847]],[[0.7660151]],[[0.70410407]],[[0.7939334]],[[0.80192626]],[[0.81009734]],[[0.8735355]],[[0.7604549]],[[0.7386409]]
[[0.6539931]],[[0.6899742]],[[0.7576965]],[[0.7371418]],[[0.8880402]],[[0.82867134]],[[0.74730766]],[[0.90290034]],[[0.83489054]],[[0.90695226]],[[0.81160724]],[[0.87283635]],[[0.6624783]],[[0.7545295]],[[0.6397443]],[[0.8542454]],[[0.78132594]],[[0.7837268]],[[0.87003857]],[[0.75361365]],[[0.7736685]],[[0.73027277]],[[0.32437766]],[[0.6903854]],[[0.8104693]],[[0.8436103]],[[0.74046266]],[[0.76639295]],[[0.7370712]],[[0.8320572]],[[0.7083917]],[[0.712964]]
[[0.67010474]],[[0.8621096]],[[0.85218084]],[[0.8700954]],[[0.8924296]],[[0.8563181]],[[0.80871516]],[[1.0288733]],[[0.83691597]],[[0.86261106]],[[0.9060313]],[[0.8773972]],[[0.8302754]],[[0.7525633]],[[0.6962602]],[[0.8519008]],[[0.88540226]],[[0.87505174]],[[0.8814045]],[[0.7967869]],[[0.7993229]],[[0.7699038]],[[0.5692624]],[[0.8005192]],[[0.8589008]],[[0.9093337]],[[0.8208635]],[[0.8009143]],[[0.76390743]],[[0.87713754]],[[0.8614891]],[[0.8655559]]
[[0.6264442]],[[0.81163174]],[[0.85559237]],[[0.8171252]],[[0.80637735]],[[0.8522422]],[[0.809564]],[[0.8746781]],[[0.78930265]],[[0.85804707]],[[0.85867333]],[[0.78856134]],[[0.82734334]],[[0.76296604]],[[0.7442023]],[[0.7346598]],[[0.8542835]],[[0.820403]],[[0.883498]],[[0.7573109]],[[0.90711987]],[[0.888702]],[[0.4897225]],[[0.8046947]],[[0.82573986]],[[0.94722056]],[[0.70228153]],[[0.72716695]],[[0.66820085]],[[0.88839805]],[[0.7182454]],[[0.7011756]]
[[0.8095348]],[[0.8378757]],[[0.8357487]],[[0.8762433]],[[0.9240873]],[[0.8944212]],[[0.7884151]],[[0.9086864]],[[0.80939823]],[[0.8564393]],[[0.84894675]],[[0.8234644]],[[0.8193758]],[[0.8297214]],[[0.7729599]],[[0.7675242]],[[0.899255]],[[0.8161322]],[[0.9245116]],[[0.7779626]],[[0.8542058]],[[0.8325894]],[[0.68842787]],[[0.8078165]],[[0.81691444]],[[0.94251806]],[[0.83588815]],[[0.77089876]],[[0.6903138]],[[0.89176464]],[[0.8452766]],[[0.7921029]]
[[0.749262]],[[0.78068626]],[[0.900496]],[[0.84479624]],[[0.8615184]],[[0.7390725]],[[0.7683243]],[[0.80200803]],[[0.8642914]],[[0.8783616]],[[0.8088851]],[[0.8046942]],[[0.7845763]],[[0.632203]],[[0.69726026]],[[0.8251058]],[[0.85544825]],[[0.7044811]],[[0.9014226]],[[0.6900274]],[[0.82828236]],[[0.80274475]],[[0.6209102]],[[0.7433084]],[[0.7793274]],[[0.9615163]],[[0.7633624]],[[0.6583228]],[[0.7107402]],[[0.84687686]],[[0.73396736]],[[0.75033706]]
[[0.7944126]],[[0.8128339]],[[0.9193874]],[[0.89546335]],[[0.8909776]],[[0.9668752]],[[0.8075781]],[[0.83034056]],[[0.85162044]],[[0.90997624]],[[0.8268268]],[[0.8344394]],[[0.9148157]],[[0.8254289]],[[0.7517855]],[[0.7997308]],[[0.87274754]],[[0.79508245]],[[0.9662138]],[[0.8208986]],[[0.7888683]],[[0.88626444]],[[0.7358544]],[[0.8089365]],[[0.8075799]],[[0.8348747]],[[0.8950177]],[[0.752245]],[[0.7254727]],[[0.80746216]],[[0.8450488]],[[0.83042085]]
[[0.6099158]],[[0.83170843]],[[0.81837094]],[[0.8942052]],[[0.92188036]],[[0.88833386]],[[0.8850958]],[[0.9593108]],[[0.8112927]],[[0.89271164]],[[0.8628042]],[[0.82865036]],[[0.9062989]],[[0.84848356]],[[0.64667714]],[[0.7587886]],[[0.86917484]],[[0.8790103]],[[0.88304275]],[[0.8745288]],[[0.88396037]],[[0.865003]],[[0.72376835]],[[0.8481611]],[[0.87480164]],[[0.8907282]],[[0.81456804]],[[0.8375723]],[[0.93467957]],[[0.8470682]],[[0.88785684]],[[0.85252744]]
[[0.73185277]],[[0.76157725]],[[0.8340927]],[[0.6224883]],[[0.78613603]],[[0.8472439]],[[0.64814466]],[[0.6600461]],[[0.7098322]],[[0.78251195]],[[0.6298859]],[[0.78315943]],[[0.7071382]],[[0.7359618]],[[0.78844726]],[[0.7003644]],[[0.74795437]],[[0.5004924]],[[0.77496904]],[[0.6977386]],[[0.7272263]],[[0.7982278]],[[0.60139704]],[[0.61147076]],[[0.742126]],[[0.83670497]],[[0.55983526]],[[0.67669845]],[[0.55750406]],[[0.8049665]],[[0.56731546]],[[0.6096158]]
[[0.81819856]],[[0.87538034]],[[0.77560735]],[[0.74374956]],[[0.8479654]],[[0.9542764]],[[0.69233096]],[[0.66946924]],[[0.77420694]],[[0.78099597]],[[0.6689461]],[[0.81489563]],[[0.7781516]],[[0.8471148]],[[0.82783926]],[[0.86217636]],[[0.9137945]],[[0.5828974]],[[0.8696901]],[[0.7809737]],[[0.69320613]],[[0.8155949]],[[0.73068446]],[[0.71067053]],[[0.81964207]],[[0.8490119]],[[0.73202896]],[[0.7414682]],[[0.60281044]],[[0.8357645]],[[0.75395054]],[[0.71440107]]
[[0.82261413]],[[0.8606608]],[[0.79981625]],[[0.65174603]],[[0.91911256]],[[0.84257126]],[[0.72723556]],[[0.7801143]],[[0.8506484]],[[0.78588444]],[[0.76166743]],[[0.7876558]],[[0.71262777]],[[0.7078177]],[[0.80073524]],[[0.7015842]],[[0.73309815]],[[0.61348784]],[[0.86522406]],[[0.655572]],[[0.78407604]],[[0.8238816]],[[0.78635645]],[[0.7953769]],[[0.7436021]],[[0.875484]],[[0.71041054]],[[0.75805074]],[[0.78243804]],[[0.84804773]],[[0.72955185]],[[0.76960707]]
[[0.7765393]],[[0.7795272]],[[0.9279782]],[[0.71960133]],[[0.84011143]],[[0.8829017]],[[0.78847814]],[[0.7634158]],[[0.77010596]],[[0.7317211]],[[0.7356646]],[[0.8454231]],[[0.8419006]],[[0.81883955]],[[0.7710986]],[[0.8532802]],[[0.8194913]],[[0.50034094]],[[0.81079125]],[[0.69887906]],[[0.7650741]],[[0.7447806]],[[0.6549845]],[[0.6994748]],[[0.7017497]],[[0.8232212]],[[0.72503704]],[[0.74574715]],[[0.57625127]],[[0.7995273]],[[0.7226367]],[[0.76750267]]
[[0.7772685]],[[0.74221087]],[[0.836606]],[[0.74524784]],[[0.8044135]],[[0.9507385]],[[0.72969544]],[[0.81121826]],[[0.7591896]],[[0.82730997]],[[0.71618736]],[[0.7833052]],[[0.85931283]],[[0.8605967]],[[0.8096095]],[[0.7214219]],[[0.7632153]],[[0.5314069]],[[0.7659871]],[[0.6400401]],[[0.79167587]],[[0.7995707]],[[0.75987256]],[[0.7135065]],[[0.70876604]],[[0.8570359]],[[0.70007086]],[[0.7432756]],[[0.6395716]],[[0.73084825]],[[0.7088598]],[[0.7291858]]
[[0.8794296]],[[0.86509377]],[[0.9915033]],[[0.84023434]],[[0.902603]],[[0.93033963]],[[0.8476014]],[[0.81135035]],[[0.8586192]],[[0.87192416]],[[0.69377184]],[[0.908892]],[[0.87023956]],[[0.87419045]],[[0.935424]],[[0.83477825]],[[0.8700799]],[[0.6351228]],[[0.9242758]],[[0.8558946]],[[0.84802526]],[[0.88662404]],[[0.84200764]],[[0.75830895]],[[0.9046127]],[[0.9338629]],[[0.8188572]],[[0.77073663]],[[0.7317931]],[[0.9039845]],[[0.8427181]],[[0.8324876]]
[[0.92505974]],[[0.9011223]],[[0.9881056]],[[0.8628682]],[[0.93108505]],[[0.9361223]],[[0.86241925]],[[0.8155082]],[[0.88194406]],[[0.9104084]],[[0.7379265]],[[0.8982798]],[[0.9304832]],[[0.8741797]],[[0.93540287]],[[0.91387343]],[[0.8996005]],[[0.63036346]],[[0.92904186]],[[0.8699676]],[[0.8706387]],[[0.88293]],[[0.8715908]],[[0.8186146]],[[0.90636706]],[[0.9780346]],[[0.85012925]],[[0.79704404]],[[0.7761904]],[[0.9214579]],[[0.8901179]],[[0.8752642]]
[[0.8855638]],[[0.8940646]],[[0.9520734]],[[0.874967]],[[0.93626285]],[[0.9290455]],[[0.85237575]],[[0.84988326]],[[0.8782413]],[[0.88790655]],[[0.7519949]],[[0.9080745]],[[0.9344671]],[[0.8715019]],[[0.93056256]],[[0.8545866]],[[0.9069997]],[[0.6459633]],[[0.90130055]],[[0.8605837]],[[0.8346461]],[[0.8977634]],[[0.8274631]],[[0.78723335]],[[0.9109926]],[[0.93169874]],[[0.87380135]],[[0.8154784]],[[0.7541214]],[[0.9338572]],[[0.8691821]],[[0.82739055]]
[[0.83491135]],[[0.8223895]],[[0.8836885]],[[0.7844918]],[[0.89912736]],[[0.8291665]],[[0.7606466]],[[0.8070058]],[[0.83966553]],[[0.8894945]],[[0.60758907]],[[0.8534137]],[[0.7904955]],[[0.79193246]],[[0.8609284]],[[0.8068832]],[[0.8238543]],[[0.58978426]],[[0.8935155]],[[0.81481194]],[[0.8727225]],[[0.84794027]],[[0.79814947]],[[0.6941103]],[[0.88665706]],[[0.92232674]],[[0.75313103]],[[0.76691103]],[[0.68254244]],[[0.81712765]],[[0.7400453]],[[0.8041204]]
[[0.7767306]],[[0.74828035]],[[0.8935405]],[[0.6007354]],[[0.871624]],[[0.8160159]],[[0.64516807]],[[0.7245828]],[[0.7554941]],[[0.9033611]],[[0.6894553]],[[0.79941344]],[[0.80670214]],[[0.8311102]],[[0.8039216]],[[0.72510105]],[[0.75982624]],[[0.5279488]],[[0.79410994]],[[0.67415166]],[[0.80025494]],[[0.70927274]],[[0.68623793]],[[0.7237946]],[[0.78242207]],[[0.8973085]],[[0.59332824]],[[0.75085956]],[[0.71986395]],[[0.82657707]],[[0.6437428]],[[0.67340547]]
[[0.7576381]],[[0.8193386]],[[0.83116657]],[[0.8213929]],[[0.8626348]],[[0.93696004]],[[0.7886416]],[[0.8111527]],[[0.7933834]],[[0.8471637]],[[0.63982284]],[[0.8491544]],[[0.8528721]],[[0.86425817]],[[0.7853316]],[[0.72170883]],[[0.79413575]],[[0.48557687]],[[0.8836236]],[[0.64369965]],[[0.69383544]],[[0.7506548]],[[0.65860176]],[[0.621598]],[[0.8372104]],[[0.7747118]],[[0.72951084]],[[0.7524425]],[[0.65024275]],[[0.84500456]],[[0.7256469]],[[0.76305807]]
[[0.500411]],[[0.8563567]],[[0.80063057]],[[0.8768327]],[[0.8920666]],[[0.8273708]],[[0.79362965]],[[0.8564804]],[[0.7926233]],[[0.8696567]],[[0.8012355]],[[0.7789421]],[[0.83993244]],[[0.7628397]],[[0.63243175]],[[0.73338735]],[[0.82346606]],[[0.7600663]],[[0.8720629]],[[0.76474184]],[[0.84417784]],[[0.7967305]],[[0.49789166]],[[0.7554089]],[[0.86201215]],[[0.804701]],[[0.803131]],[[0.71544635]],[[0.60258555]],[[0.84073544]],[[0.8187783]],[[0.8352854]]
[[0.77223575]],[[0.7941989]],[[0.7812296]],[[0.88885903]],[[0.7829186]],[[0.83882284]],[[0.7094599]],[[0.8523232]],[[0.8044033]],[[0.9181257]],[[0.5309161]],[[0.849435]],[[0.8525035]],[[0.7645416]],[[0.7632718]],[[0.81498575]],[[0.7984337]],[[0.70610803]],[[0.8969042]],[[0.7535791]],[[0.705656]],[[0.8009549]],[[0.7498692]],[[0.5502151]],[[0.7715322]],[[0.88751966]],[[0.71801245]],[[0.6995249]],[[0.6707395]],[[0.7809926]],[[0.7816757]],[[0.82308257]]
[[0.7069397]],[[0.8830628]],[[0.8703998]],[[0.674362]],[[0.8970545]],[[0.81984013]],[[0.7620109]],[[0.8443893]],[[0.7726267]],[[0.8588088]],[[0.756988]],[[0.8649322]],[[0.7894642]],[[0.7111927]],[[0.76688635]],[[0.7222284]],[[0.8199017]],[[0.5678747]],[[0.8789538]],[[0.50206643]],[[0.7652209]],[[0.8363147]],[[0.6356399]],[[0.70097834]],[[0.73381084]],[[0.8122495]],[[0.7176016]],[[0.7283475]],[[0.63314307]],[[0.81191134]],[[0.71065176]],[[0.7680102]]
[[0.6078876]],[[0.768026]],[[0.82951903]],[[0.64515406]],[[0.8073077]],[[0.9057727]],[[0.7024802]],[[0.84124064]],[[0.7796935]],[[0.87018234]],[[0.75956273]],[[0.8263169]],[[0.63988656]],[[0.73027545]],[[0.74999416]],[[0.6691974]],[[0.7512628]],[[0.7125399]],[[0.778877]],[[0.5290208]],[[0.7937289]],[[0.7208024]],[[0.6198461]],[[0.6535921]],[[0.7738744]],[[0.90286195]],[[0.527143]],[[0.7566992]],[[0.64999264]],[[0.79748654]],[[0.6410241]],[[0.64727116]]
[[0.6292627]],[[0.809186]],[[0.8257748]],[[0.7691113]],[[0.8309667]],[[0.85339236]],[[0.79312134]],[[0.89377254]],[[0.8792985]],[[0.9324405]],[[0.8687071]],[[0.8166859]],[[0.7924193]],[[0.76616484]],[[0.76384944]],[[0.7614251]],[[0.8523425]],[[0.7624263]],[[0.8906674]],[[0.57596993]],[[0.86276126]],[[0.7964858]],[[0.66418684]],[[0.8742899]],[[0.85964346]],[[0.9278489]],[[0.6868466]],[[0.75354433]],[[0.7327991]],[[0.8024541]],[[0.812688]],[[0.81304]]
[[0.7423502]],[[0.8491716]],[[0.9185538]],[[0.77491146]],[[0.8422403]],[[0.838688]],[[0.84765136]],[[0.8849703]],[[0.79742604]],[[0.82687473]],[[0.87697554]],[[0.8722773]],[[0.68203473]],[[0.83452564]],[[0.8463784]],[[0.78508645]],[[0.8417598]],[[0.805023]],[[0.7581698]],[[0.7220681]],[[0.82607806]],[[0.828473]],[[0.72656137]],[[0.83963424]],[[0.9075786]],[[0.9281235]],[[0.7751043]],[[0.8327645]],[[0.8170948]],[[0.81614316]],[[0.884805]],[[0.8317045]]
[[0.370223]],[[0.84355646]],[[0.8311083]],[[0.8251475]],[[0.81416357]],[[0.87484235]],[[0.8038244]],[[0.9019913]],[[0.80424833]],[[0.8449462]],[[0.7928286]],[[0.8091552]],[[0.8159429]],[[0.80546653]],[[0.52801657]],[[0.6852047]],[[0.8824987]],[[0.8544445]],[[0.7908191]],[[0.783223]],[[0.8203126]],[[0.7858501]],[[0.6628876]],[[0.7545811]],[[0.84909034]],[[0.84465766]],[[0.77984786]],[[0.7707401]],[[0.82538193]],[[0.8490852]],[[0.8036128]],[[0.7949939]]
[[0.7755074]],[[0.7686811]],[[0.67477643]],[[0.6444298]],[[0.8523495]],[[0.8586908]],[[0.7101399]],[[0.86503065]],[[0.6802554]],[[0.90412927]],[[0.89446515]],[[0.8344259]],[[0.8156173]],[[0.8092036]],[[0.7998637]],[[0.7472465]],[[0.75913686]],[[0.7639893]],[[0.86571044]],[[0.7798926]],[[0.90010333]],[[0.7655283]],[[0.7432197]],[[0.83088773]],[[0.7769532]],[[0.9130811]],[[0.76186204]],[[0.7959258]],[[0.7268472]],[[0.8064805]],[[0.74448323]],[[0.67706287]]
[[0.68417704]],[[0.7858548]],[[0.83030593]],[[0.7501604]],[[0.8754842]],[[0.7803941]],[[0.7565055]],[[0.85286397]],[[0.7918581]],[[0.79241264]],[[0.77795863]],[[0.8482183]],[[0.83050466]],[[0.78132784]],[[0.73159033]],[[0.7818278]],[[0.83228904]],[[0.7025823]],[[0.90241283]],[[0.7607266]],[[0.89041936]],[[0.7626121]],[[0.73615825]],[[0.78494954]],[[0.75963104]],[[0.7943506]],[[0.7284334]],[[0.81315833]],[[0.76828927]],[[0.7816105]],[[0.7662439]],[[0.7997255]]
