lake,motorbike,mindthegap,speech,laughter,footstepsongrass,keylock,switch,trolley,keys,knock,train,cooking,cough,pushbike,doorslam,buspassby,checkoutbeeps,drawer,phone,doorclose,lightrain,running,gate,birdsong,footsteps,money,clearthroat,slidingDoorclose,wind,chairsmoving,bagrustle
[[0.3348412]],[[0.519152]],[[0.36013937]],[[0.34411854]],[[0.215267]],[[0.30126655]],[[0.33101964]],[[0.34108913]],[[0.3466996]],[[0.31194532]],[[0.25910962]],[[0.38780475]],[[0.5609465]],[[0.11132479]],[[0.5313323]],[[0.45779562]],[[0.5685743]],[[0.4420088]],[[0.33160836]],[[0.38495785]],[[0.32851207]],[[0.32693172]],[[0.517532]],[[0.23767704]],[[0.38982558]],[[0.31725514]],[[0.37067097]],[[0.25570196]],[[0.39944226]],[[0.2948711]],[[0.5259525]],[[0.31947863]]
[[0.28206265]],[[0.47736704]],[[0.34528524]],[[0.221286]],[[0.12191308]],[[0.2862057]],[[0.3082813]],[[0.2567836]],[[0.27649558]],[[0.25054574]],[[0.19319278]],[[0.30633253]],[[0.51192296]],[[0.10563993]],[[0.45962673]],[[0.39227355]],[[0.51657844]],[[0.3782134]],[[0.2741202]],[[0.34512603]],[[0.27320963]],[[0.33480883]],[[0.38965976]],[[0.14665318]],[[0.33784175]],[[0.27100873]],[[0.31337738]],[[0.21519125]],[[0.39333832]],[[0.24552464]],[[0.4481064]],[[0.24479091]]
[[0.5597046]],[[0.51639974]],[[0.5015642]],[[0.45467532]],[[0.46622014]],[[0.40954125]],[[0.35313696]],[[0.4812622]],[[0.54964936]],[[0.46601105]],[[0.33363646]],[[0.4994055]],[[0.56235063]],[[0.206092]],[[0.5133972]],[[0.44800007]],[[0.66477835]],[[0.4528309]],[[0.48349416]],[[0.5789237]],[[0.45743012]],[[0.50440216]],[[0.49934036]],[[0.49677253]],[[0.47376317]],[[0.539572]],[[0.49689037]],[[0.3716951]],[[0.5212675]],[[0.4253962]],[[0.5736427]],[[0.41849583]]
[[0.7198143]],[[0.6260091]],[[0.64694893]],[[0.58897233]],[[0.57289946]],[[0.51456]],[[0.5488685]],[[0.6069294]],[[0.6669388]],[[0.64316815]],[[0.50186163]],[[0.6919697]],[[0.6936194]],[[0.40311766]],[[0.61914754]],[[0.60326993]],[[0.6913606]],[[0.588773]],[[0.66714925]],[[0.6473584]],[[0.66717744]],[[0.62392986]],[[0.51268995]],[[0.6748452]],[[0.61319536]],[[0.6447153]],[[0.6409545]],[[0.57696116]],[[0.7405187]],[[0.60438824]],[[0.59840655]],[[0.58315575]]
[[0.50606966]],[[0.49864602]],[[0.44890147]],[[0.3718555]],[[0.3163352]],[[0.32447708]],[[0.3586825]],[[0.42143363]],[[0.49011838]],[[0.44136047]],[[0.32941324]],[[0.47902894]],[[0.5349429]],[[0.11650062]],[[0.5032158]],[[0.41782326]],[[0.59501034]],[[0.46597534]],[[0.4599445]],[[0.4761036]],[[0.44893956]],[[0.45336396]],[[0.4261064]],[[0.39486295]],[[0.44504297]],[[0.47534263]],[[0.44269615]],[[0.31967753]],[[0.56253326]],[[0.33772022]],[[0.4575554]],[[0.35759282]]
[[0.3635136]],[[0.42469573]],[[0.3074869]],[[0.25091827]],[[0.24664652]],[[0.2622596]],[[0.28943127]],[[0.28617144]],[[0.29332566]],[[0.25115645]],[[0.23486614]],[[0.32234395]],[[0.45209783]],[[0.16069782]],[[0.44151533]],[[0.3721776]],[[0.5075885]],[[0.36705828]],[[0.25627494]],[[0.3997271]],[[0.3075068]],[[0.3650084]],[[0.3756997]],[[0.26467776]],[[0.35070938]],[[0.3131355]],[[0.34312624]],[[0.20411623]],[[0.38467622]],[[0.20881581]],[[0.35627306]],[[0.25360197]]
[[0.23738527]],[[0.47426593]],[[0.3646679]],[[0.18914878]],[[1.7881393e-07]],[[0.36250412]],[[0.32417643]],[[0.30607665]],[[0.27207947]],[[0.27439517]],[[0.2492407]],[[0.30571073]],[[0.46910286]],[[0.20249921]],[[0.43562222]],[[0.3357377]],[[0.44352812]],[[0.42514563]],[[0.309613]],[[0.31118548]],[[0.30911398]],[[0.38976026]],[[0.4078986]],[[0.15998816]],[[0.3172506]],[[0.32614177]],[[0.26408666]],[[0.280627]],[[0.4834125]],[[0.31839883]],[[0.3653158]],[[0.25272197]]
[[0.56123734]],[[0.6570676]],[[0.6459201]],[[0.5844197]],[[0.5109532]],[[0.6564208]],[[0.5866916]],[[0.6023392]],[[0.58154875]],[[0.5934552]],[[0.55277896]],[[0.62210286]],[[0.71515846]],[[0.60723674]],[[0.5729871]],[[0.62277675]],[[0.5088601]],[[0.58160233]],[[0.63015217]],[[0.5807514]],[[0.5650846]],[[0.5021292]],[[0.63293386]],[[0.6596114]],[[0.5566671]],[[0.60682654]],[[0.6276496]],[[0.6401235]],[[0.64178514]],[[0.67301404]],[[0.55580735]],[[0.5996968]]
[[0.43073618]],[[0.49906993]],[[0.44832915]],[[0.40493697]],[[0.28208274]],[[0.43703496]],[[0.47033966]],[[0.39136487]],[[0.38709497]],[[0.43002403]],[[0.4056164]],[[0.4321754]],[[0.57288206]],[[0.37487298]],[[0.4150895]],[[0.44188875]],[[0.46303272]],[[0.4934525]],[[0.4266191]],[[0.48172736]],[[0.3922968]],[[0.42095852]],[[0.39759272]],[[0.3482796]],[[0.4423126]],[[0.4262343]],[[0.45866835]],[[0.4516394]],[[0.5252007]],[[0.4121126]],[[0.36143613]],[[0.3797145]]
[[0.4572329]],[[0.50419253]],[[0.40740615]],[[0.36194652]],[[0.27586347]],[[0.287588]],[[0.26779413]],[[0.38142395]],[[0.4070105]],[[0.33294523]],[[0.21242309]],[[0.39342064]],[[0.5575399]],[[0.08353686]],[[0.50521857]],[[0.47100466]],[[0.60484505]],[[0.3768471]],[[0.35962325]],[[0.44747245]],[[0.36536157]],[[0.38159037]],[[0.5000767]],[[0.31033367]],[[0.3927908]],[[0.3799262]],[[0.4335863]],[[0.28081107]],[[0.44593418]],[[0.31058586]],[[0.5437626]],[[0.31926048]]
[[0.46094793]],[[0.53753775]],[[0.4422009]],[[0.4576252]],[[0.37068272]],[[0.44755]],[[0.4185006]],[[0.44552594]],[[0.41642165]],[[0.41537607]],[[0.39277792]],[[0.5130864]],[[0.5247051]],[[0.3767596]],[[0.4218111]],[[0.41691315]],[[0.47691113]],[[0.4324795]],[[0.44919533]],[[0.5058074]],[[0.35494816]],[[0.4363491]],[[0.52301186]],[[0.41601276]],[[0.43090487]],[[0.47644055]],[[0.5070539]],[[0.4331771]],[[0.49027157]],[[0.49348295]],[[0.5216596]],[[0.3774426]]
[[0.4775803]],[[0.51960754]],[[0.40464997]],[[0.41048628]],[[0.34336925]],[[0.29407495]],[[0.24785781]],[[0.44011545]],[[0.40331876]],[[0.33770978]],[[0.25719887]],[[0.45387024]],[[0.50063103]],[[0.1869508]],[[0.50425243]],[[0.43084413]],[[0.6077086]],[[0.3420086]],[[0.37010765]],[[0.48983097]],[[0.34856337]],[[0.4758296]],[[0.5318757]],[[0.37009883]],[[0.39640176]],[[0.41207254]],[[0.46979475]],[[0.28332055]],[[0.38921034]],[[0.40915233]],[[0.57423866]],[[0.28700548]]
[[0.66974425]],[[0.6858438]],[[0.6364823]],[[0.6185353]],[[0.54672515]],[[0.46716535]],[[0.4634431]],[[0.6381402]],[[0.64192015]],[[0.60311353]],[[0.4457627]],[[0.6264]],[[0.7258357]],[[0.23025191]],[[0.6765989]],[[0.61226404]],[[0.7567276]],[[0.5616003]],[[0.6071963]],[[0.68873864]],[[0.5819318]],[[0.4809203]],[[0.6479547]],[[0.6289885]],[[0.5747029]],[[0.59944314]],[[0.6199485]],[[0.462875]],[[0.5635408]],[[0.5274907]],[[0.6561058]],[[0.5484582]]
[[0.66288424]],[[0.6639242]],[[0.6202953]],[[0.63548154]],[[0.60627514]],[[0.5024176]],[[0.4779353]],[[0.6306411]],[[0.6700166]],[[0.58217853]],[[0.44139737]],[[0.6716756]],[[0.70798385]],[[0.34828317]],[[0.64890945]],[[0.6555664]],[[0.69823855]],[[0.5041027]],[[0.6237745]],[[0.6187874]],[[0.57737887]],[[0.53613466]],[[0.6889057]],[[0.69178987]],[[0.5536926]],[[0.59332114]],[[0.6452836]],[[0.5036861]],[[0.6097311]],[[0.5906554]],[[0.65114415]],[[0.56424993]]
[[0.28861594]],[[0.39843714]],[[0.25077075]],[[0.2935745]],[[0.2515694]],[[0.29357815]],[[0.3367077]],[[0.22208303]],[[0.3111574]],[[0.28906935]],[[0.2855487]],[[0.30915916]],[[0.47267985]],[[0.2728731]],[[0.360394]],[[0.37147033]],[[0.42888945]],[[0.3648147]],[[0.27283835]],[[0.32220292]],[[0.31483233]],[[0.3487054]],[[0.33760083]],[[0.2506051]],[[0.37470633]],[[0.2908845]],[[0.3274622]],[[0.2316413]],[[0.40104234]],[[0.24069399]],[[0.31095684]],[[0.27039123]]
[[0.51768655]],[[0.5049806]],[[0.44240445]],[[0.42710638]],[[0.3384716]],[[0.34110737]],[[0.374434]],[[0.43817854]],[[0.46330774]],[[0.42071497]],[[0.310539]],[[0.4751383]],[[0.5719399]],[[0.1375711]],[[0.50875336]],[[0.4460057]],[[0.61799175]],[[0.43893313]],[[0.44442105]],[[0.5417695]],[[0.45540988]],[[0.4855765]],[[0.4716832]],[[0.394338]],[[0.42284226]],[[0.4960928]],[[0.4711501]],[[0.331572]],[[0.54107904]],[[0.35044563]],[[0.49775416]],[[0.3704185]]
[[0.33386445]],[[0.5387947]],[[0.37452948]],[[0.33199698]],[[0.21856415]],[[0.33375955]],[[0.3091603]],[[0.377703]],[[0.3627746]],[[0.3269018]],[[0.23347181]],[[0.3486899]],[[0.5719225]],[[0.12139308]],[[0.5485575]],[[0.4521736]],[[0.5501706]],[[0.4397118]],[[0.32600856]],[[0.42574012]],[[0.32370675]],[[0.30824643]],[[0.53870976]],[[0.26765066]],[[0.3697366]],[[0.32130247]],[[0.3725832]],[[0.26210213]],[[0.36447012]],[[0.28206468]],[[0.4886325]],[[0.33002907]]
[[0.41293466]],[[0.61995614]],[[0.51457953]],[[0.3437994]],[[0.36563647]],[[0.4795457]],[[0.4102943]],[[0.42265433]],[[0.46481013]],[[0.3537684]],[[0.36734796]],[[0.34674346]],[[0.5593078]],[[0.46906728]],[[0.6907953]],[[0.5212785]],[[0.64745736]],[[0.4911297]],[[0.34796858]],[[0.50694215]],[[0.4487508]],[[0.4975394]],[[0.60812473]],[[0.46843463]],[[0.23525959]],[[0.44745195]],[[0.52007866]],[[0.3697021]],[[0.3734293]],[[0.45158494]],[[0.4880913]],[[0.47238147]]
[[0.3566215]],[[0.41440094]],[[0.42127126]],[[0.16628379]],[[0.2673818]],[[0.31923342]],[[0.27481568]],[[0.34656417]],[[0.29891217]],[[0.26469064]],[[0.27376294]],[[0.2823987]],[[0.45393968]],[[0.31426013]],[[0.44013506]],[[0.35833895]],[[0.45140254]],[[0.3984301]],[[0.29955792]],[[0.37318432]],[[0.28478974]],[[0.4468621]],[[0.4325984]],[[0.2754296]],[[0.24337429]],[[0.31872487]],[[0.33780897]],[[0.2640249]],[[0.43125737]],[[0.3340543]],[[0.43138933]],[[0.2632864]]
[[0.31399816]],[[0.3933276]],[[0.29776013]],[[0.27041948]],[[0.22412002]],[[0.24440861]],[[0.34352446]],[[0.30980557]],[[0.22890055]],[[0.3007986]],[[0.23548114]],[[0.2913639]],[[0.4637922]],[[0.23066592]],[[0.33447647]],[[0.30855423]],[[0.41591817]],[[0.33934462]],[[0.2562083]],[[0.42803288]],[[0.2596289]],[[0.39918566]],[[0.27078152]],[[0.22077644]],[[0.3640961]],[[0.23826051]],[[0.36925852]],[[0.25605518]],[[0.35655105]],[[0.26921016]],[[0.28484398]],[[0.222242]]
[[0.19851077]],[[0.47019053]],[[0.35545468]],[[0.13109589]],[[0.12769711]],[[0.35244823]],[[0.28560972]],[[0.22991288]],[[0.28628552]],[[0.22487795]],[[0.2842754]],[[0.24426556]],[[0.43882328]],[[0.26886833]],[[0.41135663]],[[0.33034146]],[[0.4082439]],[[0.38005948]],[[0.22378659]],[[0.34242743]],[[0.25844085]],[[0.37800288]],[[0.36819935]],[[0.13257408]],[[0.2857828]],[[0.2864614]],[[0.27809638]],[[0.21095741]],[[0.40152276]],[[0.28048778]],[[0.3960176]],[[0.22864836]]
[[0.2515018]],[[0.36935484]],[[0.25395715]],[[0.23502064]],[[0.24672532]],[[0.31061232]],[[0.31902152]],[[0.31108803]],[[0.3193915]],[[0.26552927]],[[0.33123815]],[[0.28362322]],[[0.4852364]],[[0.3039254]],[[0.43791962]],[[0.35734618]],[[0.5331262]],[[0.4538973]],[[0.23689151]],[[0.39149934]],[[0.36735737]],[[0.41465324]],[[0.3998943]],[[0.20267391]],[[0.31262088]],[[0.34661555]],[[0.2772957]],[[0.17189258]],[[0.50012565]],[[0.3083375]],[[0.45673883]],[[0.19515026]]
[[0.74905175]],[[0.6819021]],[[0.7988716]],[[0.6381738]],[[0.67060196]],[[0.799457]],[[0.736228]],[[0.6989992]],[[0.7621088]],[[0.6969186]],[[0.63470244]],[[0.65562826]],[[0.77371013]],[[0.75396216]],[[0.80562186]],[[0.7280011]],[[0.7608187]],[[0.78202444]],[[0.7657441]],[[0.71816087]],[[0.765432]],[[0.71535575]],[[0.7501272]],[[0.80598694]],[[0.56066513]],[[0.7613925]],[[0.6772585]],[[0.7519666]],[[0.7368646]],[[0.68835914]],[[0.64569026]],[[0.76192355]]
[[0.73004764]],[[0.7635901]],[[0.79254484]],[[0.6674383]],[[0.70863533]],[[0.7440477]],[[0.7465255]],[[0.67815316]],[[0.7827725]],[[0.68986136]],[[0.72586834]],[[0.7033906]],[[0.7788612]],[[0.834618]],[[0.83233833]],[[0.7531697]],[[0.7358654]],[[0.7456294]],[[0.7037109]],[[0.72315645]],[[0.7643007]],[[0.7187784]],[[0.7863419]],[[0.81455654]],[[0.47266376]],[[0.7263223]],[[0.77798676]],[[0.7612809]],[[0.7091309]],[[0.7179055]],[[0.6480127]],[[0.7779758]]
[[0.5968994]],[[0.68117225]],[[0.69730276]],[[0.52929103]],[[0.5797701]],[[0.69423705]],[[0.6018472]],[[0.5714268]],[[0.66777116]],[[0.5714021]],[[0.5421093]],[[0.5664169]],[[0.71881574]],[[0.69317186]],[[0.7382838]],[[0.69535863]],[[0.6888105]],[[0.68202245]],[[0.62265366]],[[0.6053676]],[[0.653377]],[[0.6025779]],[[0.69272554]],[[0.69438034]],[[0.4405437]],[[0.6369884]],[[0.6508558]],[[0.649182]],[[0.6304001]],[[0.6429788]],[[0.62405396]],[[0.67651606]]
[[0.45292455]],[[0.5327742]],[[0.5091855]],[[0.35441107]],[[0.41619653]],[[0.47540867]],[[0.4514674]],[[0.38347763]],[[0.47947025]],[[0.38618886]],[[0.42013]],[[0.40769553]],[[0.58585334]],[[0.50359565]],[[0.61424077]],[[0.5332153]],[[0.62826097]],[[0.55099165]],[[0.41838396]],[[0.4674378]],[[0.47644472]],[[0.4807588]],[[0.5980184]],[[0.48695958]],[[0.28029376]],[[0.4753312]],[[0.4956866]],[[0.44205618]],[[0.47142786]],[[0.43146956]],[[0.5009183]],[[0.48124272]]
[[0.3607564]],[[0.43719578]],[[0.27861315]],[[0.2607609]],[[0.28156006]],[[0.25882363]],[[0.28611523]],[[0.24954253]],[[0.37722397]],[[0.28279018]],[[0.278466]],[[0.32856852]],[[0.3987105]],[[0.19782305]],[[0.38484752]],[[0.33628702]],[[0.49861532]],[[0.32989812]],[[0.27536213]],[[0.37532806]],[[0.30750555]],[[0.41314918]],[[0.3109122]],[[0.246566]],[[0.364985]],[[0.33989805]],[[0.31020224]],[[0.16222793]],[[0.41344756]],[[0.23528093]],[[0.39680743]],[[0.2195822]]
[[0.30952352]],[[0.4619187]],[[0.28372175]],[[0.2747656]],[[0.21134567]],[[0.29220295]],[[0.27271867]],[[0.3619848]],[[0.33285677]],[[0.2691846]],[[0.20583153]],[[0.34221077]],[[0.4130476]],[[0.20311987]],[[0.51251537]],[[0.30610764]],[[0.468135]],[[0.39505506]],[[0.27536666]],[[0.4027375]],[[0.30255747]],[[0.37421632]],[[0.41827238]],[[0.28828758]],[[0.2623068]],[[0.3130771]],[[0.3184147]],[[0.22586763]],[[0.40731192]],[[0.27900648]],[[0.33264256]],[[0.28629386]]
[[0.3235811]],[[0.4666136]],[[0.32185948]],[[0.3428167]],[[0.21833092]],[[0.273728]],[[0.33397442]],[[0.4274186]],[[0.33454424]],[[0.33763576]],[[0.25072712]],[[0.33218592]],[[0.54851836]],[[0.15286279]],[[0.4763099]],[[0.36493528]],[[0.49036378]],[[0.36853933]],[[0.33459175]],[[0.42254984]],[[0.31136185]],[[0.3282187]],[[0.5153463]],[[0.22166675]],[[0.3284105]],[[0.30080408]],[[0.3506804]],[[0.2294802]],[[0.40291333]],[[0.30119938]],[[0.4454832]],[[0.22190088]]
[[0.32848215]],[[0.3983398]],[[0.23109305]],[[0.2756492]],[[0.21642768]],[[0.24805808]],[[0.26955628]],[[0.34566742]],[[0.3141123]],[[0.27820313]],[[0.25231892]],[[0.32337064]],[[0.46742886]],[[0.19287026]],[[0.4279636]],[[0.3158393]],[[0.46389002]],[[0.3586676]],[[0.25388855]],[[0.41181362]],[[0.26936167]],[[0.39205348]],[[0.45153338]],[[0.20152646]],[[0.32711822]],[[0.32360423]],[[0.32169294]],[[0.21593994]],[[0.37755442]],[[0.2734697]],[[0.42565155]],[[0.17642307]]
[[0.28981525]],[[0.42165923]],[[0.3393383]],[[0.2520705]],[[0.28462595]],[[0.298437]],[[0.3411535]],[[0.24591452]],[[0.30600005]],[[0.24978125]],[[0.29561412]],[[0.31004834]],[[0.48300338]],[[0.33784473]],[[0.42512536]],[[0.3351506]],[[0.4501245]],[[0.39547455]],[[0.2619244]],[[0.37858695]],[[0.2934202]],[[0.37467724]],[[0.36199093]],[[0.2839951]],[[0.22818053]],[[0.32270443]],[[0.3640355]],[[0.23234165]],[[0.37553763]],[[0.20280015]],[[0.3442738]],[[0.26367587]]
[[0.3225327]],[[0.4519254]],[[0.42604178]],[[0.31169534]],[[0.3114171]],[[0.44205785]],[[0.41745687]],[[0.42326927]],[[0.3954988]],[[0.393386]],[[0.39436817]],[[0.34525752]],[[0.51370424]],[[0.33792436]],[[0.46075392]],[[0.36718297]],[[0.35767573]],[[0.45590222]],[[0.34387785]],[[0.42500532]],[[0.32525802]],[[0.34480798]],[[0.4036957]],[[0.3809024]],[[0.37443513]],[[0.3517021]],[[0.34746903]],[[0.3174454]],[[0.41857374]],[[0.25613827]],[[0.33431453]],[[0.34404373]]
[[0.26568466]],[[0.4460885]],[[0.2877556]],[[0.2543788]],[[0.26848924]],[[0.34677762]],[[0.36244965]],[[0.20813227]],[[0.34740424]],[[0.24359524]],[[0.31998056]],[[0.3135265]],[[0.4231912]],[[0.34352702]],[[0.4030518]],[[0.36499745]],[[0.3872915]],[[0.3572471]],[[0.27162206]],[[0.34588188]],[[0.2613206]],[[0.38453275]],[[0.37569505]],[[0.23042005]],[[0.32006115]],[[0.28319085]],[[0.34766388]],[[0.26441896]],[[0.37119967]],[[0.22431064]],[[0.3416443]],[[0.3057301]]
[[0.52932453]],[[0.6183965]],[[0.46591258]],[[0.51901]],[[0.3969047]],[[0.38547444]],[[0.4018613]],[[0.50681293]],[[0.5066988]],[[0.43982607]],[[0.3409763]],[[0.4905454]],[[0.6336634]],[[0.16160756]],[[0.6077663]],[[0.52655274]],[[0.63125944]],[[0.41894567]],[[0.47812092]],[[0.55970836]],[[0.4319948]],[[0.3896488]],[[0.62720966]],[[0.44386065]],[[0.44028097]],[[0.47580397]],[[0.5044211]],[[0.35532898]],[[0.42709446]],[[0.35464907]],[[0.5718039]],[[0.42735744]]
[[0.30233872]],[[0.48042428]],[[0.26917267]],[[0.27391112]],[[0.17248046]],[[0.2777369]],[[0.34196222]],[[0.27830756]],[[0.39092106]],[[0.3071068]],[[0.2909311]],[[0.36589396]],[[0.46595657]],[[0.1527592]],[[0.4502164]],[[0.31802195]],[[0.5007018]],[[0.4268955]],[[0.3048355]],[[0.37481594]],[[0.32412875]],[[0.3658415]],[[0.38883305]],[[0.17056978]],[[0.33244944]],[[0.35027826]],[[0.30171287]],[[0.21647233]],[[0.4954542]],[[0.2180816]],[[0.43312544]],[[0.23111486]]
[[0.34890974]],[[0.41106892]],[[0.29542774]],[[0.31475848]],[[0.30877644]],[[0.34035462]],[[0.3865137]],[[0.3265965]],[[0.3416915]],[[0.32099044]],[[0.36524862]],[[0.32224405]],[[0.4690985]],[[0.32862985]],[[0.36246967]],[[0.4153701]],[[0.4973272]],[[0.38922077]],[[0.22124684]],[[0.4047103]],[[0.35589266]],[[0.47729045]],[[0.40796483]],[[0.26720405]],[[0.42810237]],[[0.33790815]],[[0.30468285]],[[0.25508177]],[[0.4470073]],[[0.32432902]],[[0.41004384]],[[0.26876682]]
[[0.3640483]],[[0.47028947]],[[0.34510684]],[[0.27963763]],[[0.21122444]],[[0.24746257]],[[0.25603658]],[[0.3167919]],[[0.352421]],[[0.28783143]],[[0.21767187]],[[0.32896304]],[[0.53223944]],[[0.07304651]],[[0.46619016]],[[0.4195012]],[[0.5781277]],[[0.3807497]],[[0.2962458]],[[0.38456726]],[[0.3203593]],[[0.34984517]],[[0.44741786]],[[0.21767616]],[[0.3599438]],[[0.32245338]],[[0.36606264]],[[0.21188712]],[[0.4287225]],[[0.25771892]],[[0.5083266]],[[0.249071]]
